song|artist|lyrics|genre|emotion_4Q|emotion_2Q
Dragostea Din Tei|O-Zone|[Intro: Dan Bălan, Dan Bălan, Arseniu & Radu Sîrbu] Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha  [Strofa 1: Arsenie Todiraș] Alo, salut Sunt eu, un haiduc Și te rog, iubirea mea Primește fericirea  [Pre-refren: Radu Sîrbu] Alo, alo Sunt eu, Picasso Ți-am dat beep, și sunt voinic Dar să știi, nu-ți cer nimic  [Refren: Dan Bălan, Arseniu & Radu Sîrbu] Vrei să pleci dar nu mă, nu mă iei Nu mă, nu mă iei, nu mă, nu mă, nu mă iei Chipul tău și dragostea din tei Mi-amintesc de ochii tăi Vrei sa pleci dar nu mă, nu mă iei Nu mă, nu mă iei, nu mă, nu mă, nu mă iei Chipul tău și dragostea din tei Mi-amintesc de ochii tăi  [Strofa 2: Arsenie Todiraș] Te sun să-ți spun Ce simt acum Alo, iubirea mea Sunt eu, fericirea  [Pre-refren: Radu Sîrbu] Alo, alo Sunt iarăși eu, Picasso Ți-am dat beep, și sunt voinic Dar să știi, nu-ți cer nimic  [Refren: Dan Bălan, Arseniu & Radu Sîrbu] Vrei să pleci dar nu mă, nu mă iei Nu mă, nu mă iei, nu mă, nu mă, nu mă iei Chipul tău și dragostea din tei Mi-amintesc de ochii tăi Vrei sa pleci dar nu mă, nu mă iei Nu mă, nu mă iei, nu mă, nu mă, nu mă iei Chipul tău și dragostea din tei Mi-amintesc de ochii tăi  [Punte: Dan Bălan, Dan Bălan, Arseniu & Radu Sîrbu] Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha Ma-i-a hi, ma-i-a hu Ma-i-a ho, ma-i-a ha-ha  [Refren: Dan Bălan, Arseniu & Radu Sîrbu] Vrei să pleci dar nu mă, nu mă iei Nu mă, nu mă iei, nu mă, nu mă, nu mă iei Chipul tău și dragostea din tei Mi-amintesc de ochii tăi Vrei să pleci dar nu mă, nu mă iei Nu mă, nu mă iei, nu mă, nu mă, nu mă iei Chipul tău și dragostea din tei Mi-amintesc de ochii tăi|Dance|happy|positive
Suicide Solution|Ozzy Osbourne|"[Verse 1] Wine is fine, but whiskey's quicker Suicide is slow with liquor Take a bottle, drown your sorrows Then it floods away tomorrows Away tomorrows  [Verse 2] Evil thoughts and evil doings Cold, alone, you hang in ruins Thought that you'd escape the reaper You can't escape the Master Keeper  [Chorus] 'Cause you feel life's unreal and you're living a lie Such a shame who's to blame? And you're wondering why Then you ask from your cask, ""Is there life after birth?"" What you saw can be Hell on this earth, Hell on this earth  [Verse 3] Now you live inside a bottle The reaper's traveling at full throttle It's catching you, but you don't see The reaper's you and the reaper is me  [Chorus] Breaking laws, knocking doors, but there's no one at home Made your bed, rest your head, but you lie there and moan Where to hide? Suicide is the only way out Don't you know what it's really about?  [Bridge] Ah, now people You really know where it's at Ah, ah you got it, fox Get the flaps out, Satan, Satan, Satan  [Verse 1] Wine is fine, but whiskey's quicker Suicide is slow with liquor Take a bottle, drown your sorrows Then it floods away tomorrows [Outro] Take me away Oh, oh, tomorrow You never give me flaps, no flaps No box, and no flaps, nothing"|Heavy Metal|angry|negative
Nosferatu|Blue Öyster Cult|[Verse 1: Joe Bouchard] Deep in the heart of Germany Lucy clutched her breast in fear She heard a beat of her lover’s heart For weeks she raved in dreams he appeared From far off Transylvania  [Chorus: Joe Bouchard] Only a woman can break his spell Pure in heart, who will offer herself To Nosferatu  [Verse 2: Joe Bouchard] The ship pulled in without a sound The faithful captain long since cold He kept his log ’til the bloody end Last entry read “rats in the hold My crew is dead—I fear the plague”  [Chorus: Joe Bouchard] Only a woman can break his spell Pure in heart, who will offer herself  [Bridge: Joe Bouchard] Mortal terror reigned Sickness now, then horrible death Only Lucy knew the truth And at her window Nosferatu  [Verse 3: Joe Bouchard] So chaste, so calm, she gave herself To the pleasure of the dreaded master He sucked the precious drops of life Throughout the long and cold, dark night  [Bridge: Joe Bouchard] One last goodbye (goodbye), he was blinded by love One last goodbye (goodbye), he was blinded by love Blinded by love  [Verse 4: Joe Bouchard] He screamed with fear, he’d stayed too long in her room The morning sun had come too soon The spell was broken with a kiss of doom He vanished into dust, left her all alone  [Guitar Solo]  [Chorus: Joe Bouchard] Only a woman can break his spell Pure in heart, who will offer herself Only a woman can break his spell Pure in heart, who will offer herself To Nosferatu||angry|negative
Cuntry Boys & City Girls|The Fratellis|"[Intro] One, two, three, four, five  [Verse 1] I said, I don't get out too much, I said She said, you said, I said two times instead I said, don't, please, please, please, no You're just not funny, you know So stick around here for a week or three or four I passed out one time by your door It was twenty to four But I just can't be sure  [Chorus 1] Cinderella, Cinderella, she's my very kind of fella Part right, half wrong, oh you know it won't be too long Oh yeah And, oh you know we country boys are only after sex and noise Take me, shake me, I'm a real mess, oh yes I love the way you city girls dress Even though your head's in a mess  [Verse 2] Well, it was some kind of house by some kind of road With some kind of peculiar dress code All the boys had no style Not one girl did she smile I said, ""You're making me itch"", she said, ""Don't"" I said, ""I'll try my best"", she said, ""I know that you won't"" But it's time to go home While I was chewing her bone  [Chorus 2] Baby doll, baby doll, climbing on the bedroom wall Got no real friends at all, maybe she's a mother or two But I think she's into you Take me home, take me home, call my mother on the phone Ella was her name when I left, but now she is Rose She got no fingers or toes  [Bridge] She lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now  [Interlude] (One, two, three, four, five, six, seven) Woo! Woohoohoohoo!  [Chorus 1] Cinderella, Cinderella, she's my very kind of fella Part right, half wrong, oh you know it won't be too long Oh, oh yeah And, oh you know we country boys are only after sex and noise Take me, shake me, I'm a real mess, oh yes I love the way you city girls dress  [Chorus 2] Baby doll, baby doll, climbing on the bedroom wall Got no real friends at all, maybe she's a mother or two But I think she's into you Take me home, take me home, call my mother on the phone Ella was her name when I left, but now she is Rose She got no fingers or toes  [Outro] She lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes, now Lost them everywhere that she goes (Thanks for listenin'…)"|Rock|happy|positive
Sun (acoustic)|Mae|I'm a mess I guess It's what I asked for, it's what I needed Well, you know me better than that, or at least you did and something happened But once again something's happened The confidence you held in us is the rope we almost hung ourselves with At times I wonder if we really took the steps to break right through it I know that there were better days, but to see the light and to feel the rays Life was always back and forth and we were idling or making useless ruckus  Waiting for the rain to stop Destination: beautiful Seems that I'm still waiting for the sun Someday will come back to us If you're willing let it go Why won't you just let this be your sun? It seems like yesterday we had the world our way But some say we're headed for destruction  I'll ask you What in the world should we do? The light is green our break is through Are we not trying or are we trying to hard? Well, you know I never want to miss I hold on tight and reminisce But it's bittersweet to me When time stands still as it's trapped inside the letterbox you gave back to me But I'm the one who keeps on reading...reading But I'm the one who wants to let it go I'm the first to speak You're the last to know Another scene that we're creating I need to know if we're still making useless ruckus  Waiting for the rain to stop Destination: beautiful Seems that I'm still waiting for the sun Someday will come back to us If you're willing let it go Why won't you just let this be your sun? It seems like yesterday we had the world our way But some say we're headed for destruction  Waiting for the rain to stop Destination: beautiful Seems that I'm still waiting for the sun Someday will come back to us If you're willing let it go Why won't you just let this be your sun? It seems like yesterday we had the world our way But some say we're headed for destruction||relaxed|positive
7 Minutes|Noir Désir|Between skies and field This land in midnight lights Cold summer, cold summer Till the end of time  The earth's like a belly An heavy sleeping beast But with her big eyes open And cities are inside Still standing on the hill This city's like an ocean Enjoy the metal waves In which we drown ourselves  Don't you breathe anymore Are you far from the next corner? Your race is burning the pavement  Welcome to the city The city's done for you Yell with the underdogs Make sure they won't bite you|Rock|angry|negative
Lightning|Eric Church|"[Verse 1] These four walls of Farnworth Are closin' in on me My final meal is over And they're gonna set me free I can feel the fires a-burnin' As the devil guards my door I hit my knees in search of Jesus On a cold jailhouse floor  [Chorus] Lord, now I'm singin' ""Get me out of here"" I see the preacher's eyes As my daughter cries When they strap me in this chair Lord, I hope she forgives me For livin' my life this way Tonight I ride the lightning To my final judgment day  [Verse 2] Every life owes a debt That's what the Bible says I owe mine to this state For shootin' that boy to death A liquor store attendant He was reachin' for his gun Now his Momma sits there smilin' As the boss yells, ""Roll on one""  [Chorus] And, now I'm singin' ""Get me out of here"" I see the preacher's eyes As my daughter cries When they strap me in this chair Lord, I hope she forgives me For leavin' her this way Tonight I ride the lightning To my final restin' place  [Verse 3] A hungry blue eyed baby cryin' Made me rob that store And as that boy lay there dyin' I dropped my pistol on the floor Yeah, I'd take it all back, but there's nothin' I can do They've covered my face And the order's gone through As the boss yells, ""Roll on two""  [Chorus] Now I'm flyin' Up and out of here I close my eyes and slowly rise Let my body leave this chair Lord, I hope you forgive me For livin' my life this way Yeah, tonight I ride the lightning To my final restin' place  [Outro] These four walls of Farnworth Are closin' in on me"||sad|negative
A Place In The Sun|Stevie Wonder|[Verse 1] Like a long, lonely stream I keep runnin' towards a dream Movin' on (Movin' on), movin' on (Movin' on) Like a branch on a tree I keep reachin' to be free Movin' on (Movin' on), movin' on (Movin' on)  [Chorus] 'Cause there's a place in the sun Where there's hope for everyone Where my poor, restless heart's gotta run There's a place in the sun And before my life is done Got to find me a place in the sun  [Verse 2] Like an old, dusty road I get weary from the load Movin' on (Movin' on), movin' on (Movin' on) Like this tired, troubled earth I've been rollin' since my birth Movin' on (Movin' on), movin' on (Movin' on)  [Chorus] 'Cause there's a place in the sun Where there's hope for everyone Where my poor, restless heart's gotta run I know there's a place in the sun And before my life is done Got to find me a place in the sun  [Bridge] You know, when times are bad And you're feeling sad (I will find me a place in the sun) I want you to always remember—  [Chorus] Yes, there's a place in the sun (Place in the sun, place in the sun) Where there's hope for everyone (Hope for everyone, hope for everyone) Where my poor, restless heart's gotta run (Poor, restless heart, poor, restless heart, run) I know there's a place in the sun (Place in the sun, place in the sun) And before|R&B|relaxed|positive
Survival of the Fittest|Mobb Deep|[Intro: Prodigy] Yeah, sendin' this one out to my man Killa B No doubt, indeed Where that weed? Nahmsayin'? That old real shit  [Verse 1: Prodigy] There's a war goin' on outside, no man is safe from You could run, but you can't hide forever From these streets that we done took You walkin' with your head down, scared to look You shook, ‘cause ain't no such things as halfway crooks They never around when the beef cooks in my part of town It's similar to Vietnam Now we all grown up and old, and beyond the cops' control They better have the riot gear ready Tryin' to bag me and get rocked steady! By the MAC one-double, I touch you And leave you with not much to go home with My skin is thick, ‘cause I be up in the mix of action If I'm not at home, puffin' lye, relaxin' New York got a nigga depressed So I wear a slug-proof underneath my Guess God bless my soul Before I put my foot down and begin to stroll Into the drama I built And all unfinished beef, you will soon be killed Put us together, it's like mixin' vodka and milk I'm goin out blastin', takin' my enemies with me And if not, they scarred, so they will never forget me Lord, forgive me, the Hennessy got me not knowin' how to act I'm fallin' and I can't turn back Or maybe it's the words from my man Killa Black That I can't say, so it's left a untold fact Until my death, my goal's to stay alive Survival of the fit, only the strong survive  [Chorus: Havoc] Yo, yo, we livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (Thug life, we still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive  [Verse 2: Havoc] I'm trapped in between two worlds, tryin' to get dough Y'know, when the dough get low, the jewels go But never that! As long as fiends smoke crack I'll be on the block hustlin', countin' my stacks No doubt, watchin' my back and proceed with caution Five-O lurkin', no time to get lost in the system Niggas usin' fake names to get out quick My brother did it and got bagged with two ounces I live a world where squads hit the block hard Ask my man Twin, when he got bagged, that fucked me up, God But shit happens for a reason You find out who's your true peoples when you're Upstate bleedin' You can't find a shorty to troop your bid with you Hit with a two-to-four is difficult Wild on the streets, I try to maintain Tight with my loot, ‘cause hoes like to run game Some niggas like to trick, but I ain't with that trickin' shit I'm like a Jew, savin' dough so I can big whip Pushin' a Lex, now I'm set, ready to jet No matter how much loot I get, I'm stayin' in the projects forever! Jakes on the blocks — we out-clever If beef, we never separate, roll together When worst comes to worst, my peoples come first Try to react and get them motherfuckin' feelings hurt My crew's all about loot Fuck lookin' cute! I'm strictly Timb boots and Army certified suits Puffin' L's, laid back, enjoyin' the smell In the 'Bridge, gettin' down, it ain't hard to tell You better realize  [Chorus: Mobb Deep] We livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (Thug life, we still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive (We still livin' it) We livin' this 'til the day that we die Survival of the fit, only the strong survive  [Outro: Prodigy] Open your eyes and get wise Look alive, in '95, word up Hypnotic thug life, get that ass paralyzed, nahmsayin'? Mobb Deep and all that|Hip-Hop|angry|negative
Like I Love You|Justin Timberlake|"[Intro: Justin Timberlake] Just somethin' about you Way I'm lookin' at you, whatever Keep lookin' at me You're scared now, right? Don't fail me, baby It's just Justin You feel good, right? Listen  [Verse 1: Justin Timberlake] I kinda noticed somethin' wasn't right From your colorful face It's kinda weird to me since you're so fine If it's up to me, your face will change  [Pre-Chorus: Justin Timberlake] If you smile, then that should set the tone Just be limber And if you let go, the music should move your bones Just remember Sing a song with me  [Chorus: Justin Timberlake] Ain't nobody love you like I love you You're a good girl and that's what makes me trust ya (Hey!) Late at night, I talk to you You will know the difference when I touch you  [Verse 2: Justin Timberlake] See, people are so phony Nosy 'cause they're lonely Aren't you sick of the same thing? (Thing, thing) They say so and so was datin' Love you or they're hatin' When it doesn't matter anyway 'Cause we're here tonight  [Pre-Chorus: Justin Timberlake] If you smile, then that should set the tone Just be limber, baby And if you let go, the music should move your bones Baby, just remember Sing a song with me  [Chorus: Justin Timberlake] Ain't nobody love you like I love you You're a good girl and that's what makes me trust ya (Hey) Late at night, I talk to you You will know the difference when I touch you  [Interlude: Justin Timberlake] Yeah, you know I can make you happy I could change your life If you give me that chance to be your man I won't let you down, baby If you give me that chance to be your man Here, baby, put on my jacket And then  [Bridge: Justin Timberlake] Maybe we'll fly the night away (I just wanna love you, baby) Girl (Yeah, yeah, yeah) Maybe we'll fly the night away (I just wanna love you, baby) Girl (Ooh)  [Verse 3: Pusha T, No Malice, Justin Timberlake] Ma, whatchu wanna do? I'm in front of you Grab a friend, see? I can have fun with two Or me and you put on a stage show In the mall, kids ask, ""How'd the chain glow?"" Point to her, they say, ""Wow, it's the same glow"" Point to me, I say, ""Yeah, it's the same dough"" We the same type, you my a-like (Yeah) You have me sleepin' in the same bed every night Go ride with me, you deservin' the best Take a few shots, let it burn in your chest We could ride down, pumpin' N.E.R.D. in the deck Funny how a few words turn into sex Play number three, joint called ""Brain""  ( I just love your, brain ) Ma, took a hint, make me swerve in the laneThe name Malicious and I burn every trackClipse and J. Timberlake, now how heavy is that?  [Bridge: Justin Timberlake] Maybe we'll fly the night away (I just wanna love you, baby) Girl (Yeah, yeah, yeah) Maybe we'll fly the night away (I just wanna love you, baby) Girl Ho  [Chorus: Justin Timberlake] Ain't nobody love you like I love you (Can't love you like I do) You're a good girl and that's what makes me trust you (Makes me trust you like I do) (Hey!) Late at night, I talk to you (Hey) You will know the difference when I— Break it down  [Outro: Justin Timberlake] You know, I used to dream about this when I was a little boy I never thought it would end up this way, drums (Hey) It's kind of special, right? Yeah You know, you think about it Sometimes, people just destined Destined to do what they do And that's what it is Now, everybody dance"|Pop|happy|positive
Stupid In Love|Rihanna|"[Intro] Mmm, stupid in love Oh, stupid in love, ooh  [Verse 1] Let me tell you something Never have I ever been a size ten in my whole life I left the engine running I just came to see what you would do if I Gave you a chance to make things right So I made it, even though Katy told me that this would be nothing but a waste of time And she was right, mmm Don't understand it, blood on your hands And still, you insist on repeatedly tryin' to tell me lies And I just don't know why, oh  [Chorus] This is stupid, I'm not stupid Don't talk to me like I'm stupid (Stupid in love) I still love you but I just can't do this I may be dumb but I'm not stupid  [Verse 2] My new nickname is ""You Idiot"" (Such an idiot) Mmm, that's what my friends are calling me when they see me yelling into my phone They're telling me, ""Let go, he is not the one"" I thought I saw your potential, guess that's what made me dumb He don't want it, not like you want it Scheming and cheating, oh girl, why do you waste your time? You know he ain't right You're telling me this, I don't wanna listen But you insist on repeatedly tryin' to tell me lies And I just don't know why  [Chorus] This is stupid, I'm not stupid Don't talk to me like I'm stupid (Stupid in love) I still love you but I just can't do this I may be dumb but I'm not stupid  [Bridge] Tryin' to make this work But you act like a jerk Silly of me to keep holding on (Oh) But the dunce cap is off You don't know what you've lost And you won't realize Till I'm gone, gone, gone That I was the one Which one of us is really dumb? Oh, no, no No, I'm not stupid in love  [Chorus] This is stupid (No, no), I'm not stupid (No, no, no) Don't talk to me like I'm stupid (Like I'm stupid in love) I still love you but I just can't do this I may be dumb but I'm not stupid  [Outro] I may be dumb but I'm not stupid in love"|Pop|sad|negative
Voice of the Voiceless|Rage Against the Machine|[Verse 1] Come on, check it Through steel walls, your voice blastin' on True rebel, my brother, Mumia, I reflect upon You the spark, that set the prairie fires on Make the masses a mastodon path to trample the fascists on At fifteen exposed Philly's finest killing machine Boots and mad guns, they pacify ya young Cause and effect, smell the smoke in the breeze My panther, my brother, we are at war until you're free  [Chorus] You'll never silence the voice of the voiceless You'll never silence the voice of the voiceless  [Verse 2] Well, the powerful got nervous 'cause he refused to be they servant 'Cause he spit truth that burned like black churches Prose and verses, a million poor in hearses Watch the decision of Dred Scott as it reverses Long as the rope is tight around Mumia's neck Let there be no rich white life we bound to respect Cause and effect, can't ya smell the smoke in the breeze? My panther, my brother, we are at war until you're free  [Chorus] You'll never silence the voice of the voiceless You'll never silence the voice of the voiceless You'll never silence the voice of the voiceless You'll never silence the voice of the voiceless  [Verse 3] And Orwell's hell, a terror era coming through But this little brother's watching you too And Orwell's hell, a terror era coming through But this little brother's watching you too, watching you too||angry|negative
Classic Cars|Bright Eyes|"[Verse 1] She was a real royal lady, true patron of the arts She said the best country singers die in the back of classic cars So if I ever got too hungry for a suitcase or guitar To think of them all alone in the dark  [Verse 2] So I laid some nights beside her in a bed made for a queen She said I kissed her different, that all the men her age were mean Gave me anything I wanted, oh the generosity I took all that I could, it was free  [Verse 3] Now the sky's a torn-up denim and the clouds are just splattered paint It's a room I'm renovating; it's a name I got to change If I get out of California, I'm going back to my home state To tell them all that I made a mistake  [Chorus] And I keep looking for that blindfold faith Lighting candles to a cynical saint Who wants the last laugh at the fly trapped in the windowsill tape You can go right out of your mind trying to escape From the panicked paradox of day to day If you can't understand something then it's best to be afraid  [Verse 4] The whole world, it loves you if you're a chic chameleon Intersecting circles, she could hang with anyone But when conducting business she would lie about where she's from Saying, ""Life is how it is not how it was""  [Verse 5] I learned to listen, felt like I was back at school She'd talk forever about the phases of the moon Saying, ""Everything is a cycle, you've got to let it come to you And when it does, you will know what to do""  [Verse 6] Without even knowing, I guess I took up her advice Painted her front door, it seemed a suitable goodbye It's not that often but I think of her sometimes Just something quaint, a couple ships in the night  [Chorus] And they keep moving at a glacial pace Turning circles in a memory maze I made a new cast of the death mask that's gonna cover my face I had to change the combination to the safe Hide it all behind a wall, let people wait And never trust a heart that's so bent it can't break"|Indie|relaxed|positive
Spill Your Blood|Mr. Hyde|[Intro 1: American Psycho sample] - It's not good any more, it's a cash bar, $25! - You're a fucking ugly bitch I want to stab you to death, then play around with your blood  [Intro 2: Necro] Yo, word up, get the fucking mop! We about to leave all your FUCKING blood on the floor! Bitch, we will...  [Hook: Necro] Spill your blood (bitch), on the concrete! Split your mug (what), and let you leak! Holding guns (gats), and rolling deep! Psycho thugs (you bitch), you don't want beef!  [Verse 1: Mr. Hyde] When Mr. Hyde enters the room, you'll reside inside a tomb When I off you with the blade in a coffin's where you stay There ain't a fucker rough enough or tough enough to step it And God forbid you knuckle up, you'll probably get snuffed to death A hook up right in they left, my juks will spike in your flesh But you received it like a man and took it right in your chest Y'all are thinking that you're thugs, I'mma split open your jugs Rather spit at you with slugs than kick and get blood on my Lugs Never acted fucking nice, like to hack and cut, and slice So if you front it's logical that I attack you with a knife I stay strapped and shady 'cause I'm packing a 380 After life decision makers wanna banish me to Hades But I'm still gripping the heat spraying off a pound of shells Gonna need a thicker leash to restrain the hounds of Hell See my bloody fists'll drip then I'll add like 50 kicks To your cranium, I'm Damien with the biscuit itch My whole crew is sick known to start some stupid shit And if you disrespect you'll probably see a troop of kids They'll be marching to your door strapping hard to start a war They'll wait for my demand the command to spark the gore  [Hook: Necro] Spill your blood, on the concrete! Split your mug (what you lookin' at, bitch?), and let you leak! Holding guns, and rolling deep! Psycho thugs (you don't want it), you don't want beef!  [Verse 2: Mr. Hyde] My sick thoughts'll provoke a pitchfork in your throat You'll get tossed in a moat, your torn corpse didn't float There's too many holes in it, your flesh and your clothes are ripped From head to toes you're bit, food for the chosen fish Shut up and slice, it's time to cut up and dice I'll drink every last gulp, wasting blood isn't nice When I'm going through a shortage of gawking to the slaughters Just shed some fucking fluid and induce the Rigor Mortis Your pulse rate'll cease as I'm unloadin' my shotty Then wait for the police to come and catch a boneless body It's a bad afternoon when you're stabbed with the spoon Jab 'til ya wounds filter laughter, it's June I'm trudging through blood with guts stuck in my Timbs After my bludgeoning buzzsaws and cut off your limbs You can beg me but earnestly your life ain't concerning me The crimson and burgundy you drip for eternity  [Hook: Necro] Spill your blood (Brooklyn!), on the concrete! Split your mug (Queens!), and let you leak! Holding guns (New York!), and rolling deep! Psycho thugs (Psycho+Logical-!), you don't want beef!  [Outro: Mr. Hyde] Yeah, that's right you little fucking midgets! It's Mr. Hyde in your grill I'll spill your fucking blood! MCC, will spill your fucking blood! Psycho+Logical-, spills your fuckin' blood! Junkyard Dog, will spill your fucking blood! Fat motherfucking Pat, will spill your fucking blood! Stick a AIDS needle, in your arm fulla cat's blood! Motherfuckers is not playing, 2004!||angry|negative
What Light|Wilco|[Verse 1] If you feel like singing a song And you want other people to sing along Just sing what you feel Don't let anyone say it's wrong And if you're trying to paint a picture But you're not sure which colors belong Just paint what you see Don't let anyone say it's wrong  [Bridge] And if you're strung out like a kite Or stung awake in the night It's alright to be frightened  [Chorus] When there's a light, what light There's a light, what light There's a light, white light inside of you  [Verse 2] If you think you might need somebody To pick you up when you drag Don't lose sight of yourself Don't let anyone change your bag And if the whole world's singing your songs And all of your paintings have been hung Just remember what was yours is everyone's from now on  [Bridge] And that's not wrong or right But you can struggle with it all you like You'll only get uptight  [Chorus] When there's a light, what light When there's a light, what light When there's a light, white light There's a light, white light When there's a light, one light When there's a light, white light When there's a light, one light When there's a light, white light When there's a light, one light When there's a light, one light When there's a light, white light When there's a light, white light Inside you  [Outro] When there's a light, white light When there's a light, white light There's a light, white light When there's a light, one light||relaxed|positive
Saturdays|Holly Brook|[Verse 1] Saturday, what a day, what a silly little day Time to kill, take a pill as I sit and contemplate How I'd like to be around all the people in the town with their fancy cars and things But I, I've got time  [Chorus] Stop pushing all your tragedies away Each moment has got a lesson for the day Take something with you if you drag your heels in yesterdays Oh these Saturdays  [Verse 2] In the haste, in the grace, I've been up to my waist It isn't real what you feel when you find love in a chase I've been waiting for the day when someone takes me away and I never get replaced But I, I've got time  [Chorus] Stop pushing all your tragedies away Each moment has got a lesson for the day Take something with you if you drag your heels in yesterdays Oh these Saturdays These Saturdays now (ooh-ooh-oh-da-dun)  [Verse 3] As I sink one more drink I am running out of ink Feeling void paranoid about every little thing And I wonder if I try to get up and say goodbye if I'll have the strength to leave Cause I, I don't have much time anymore  [Chorus] Stop pushing all your tragedies away Each moment has got a lesson for the day Take something with you if you drag your heels in yesterdays Oh these Saturdays These Saturdays, now These Saturdays now, oh baby||relaxed|positive
War Pigs|Black Sabbath|[Instrumental Intro]  [Verse 1] Generals gathered in their masses Just like witches at black masses Evil minds that plot destruction Sorcerer of death's construction In the fields, the bodies burning As the war machine keeps turning Death and hatred to mankind Poisoning their brainwashed minds Oh, Lord, yeah  [Instrumental Break]  [Bridge] Politicians hide themselves away They only started the war Why should they go out to fight? They leave that all to the poor, yeah Time will tell on their power minds Making war just for fun Treating people just like pawns in chess Wait till their judgment day comes, yeah  [Guitar Solo]  [Verse 2] Now, in darkness, world stops turning Ashes where their bodies burning No more war pigs have the power Hand of God has struck the hour Day of Judgment, God is calling On their knees, the war pigs crawling Begging mercies for their sins Satan, laughing, spreads his wings Oh, Lord, yeah  [Instrumental Outro]|Heavy Metal|angry|negative
Super Freak|Rick James|"[Verse 1] She's a very kinky girl The kind you don't take home to mother She will never let your spirits down Once you get her off the street, ow, girl She likes the boys in the band She says that I'm her all-time favorite When I make my move to her room, it's the right time She's never hard to please, oh no  [Pre-Chorus] That girl is pretty wild now The girl's a super freak The kind of girl you read about In new-wave magazines That girl is pretty kinky The girl's a super freak I really love to taste her Every time we meet She's alright, she's alright That girl's alright with me, yeah Hey, hey, hey, hey  [Chorus] She's a super freak, super freak She's super freaky, yow Everybody sing Super freak, super freak  [Verse 2] She's a very special girl The kind of girl you want to know From her head down to her toenails Down to her feet, yeah And she'll wait for me at backstage with her girlfriends In a limousine Long and black and shining bright Three's not a crowd to her, she says (Ménage à trois, oui la la) ""Room 714, I'll be waiting"" When I get there she's got incense, wine and candles It's such a freaky scene  [Pre-Chorus] That girl is pretty kinky The girl's a super freak The kind of girl you read about In new-wave magazines That girl is pretty wild now The girl's a super freak I really like to taste her Every time we meet She's alright, she's alright That girl's alright with me, yeah Hey, hey, hey, hey  [Chorus] She's a super freak, super freak She's super freaky, yow  [Bridge] Temptations, sing Oh-oh-oh-oh-oh-oh-oh Super freak, super freak That girl's a super freak Oh-oh-oh-oh-oh-oh-oh [Outro] She's a very kinky girl The kind you don't take home to mother She will never let your spirits down Once you get her off the street Blow, Danny Oh, girl Oh, girl"|R&B|happy|positive
