term,arousal
contrasted,0.538
contravene,0.618
contravention,0.627
contributor,0.51
contrition,0.583
contrived,0.53
controller,0.712
controversial,0.858
controversy,0.819
contusion,0.565
conundrum,0.524
convene,0.676
convention,0.622
conversation,0.51
conversion,0.605
convert,0.538
convertible,0.529
convey,0.633
conveyance,0.52
convict,0.84
conviction,0.704
convince,0.539
convinced,0.5
convincing,0.527
convocation,0.611
convoluted,0.614
convolution,0.559
convoy,0.671
cook,0.5
cooking,0.51
cool,0.54
coordinator,0.51
cop,0.77
cope,0.647
copilot,0.538
coping,0.63
copter,0.704
copycat,0.58
coral snake,0.712
cornet,0.52
coronary,0.613
coronation,0.592
coroner,0.558
corpse,0.657
corral,0.662
correctional,0.713
corrective,0.528
correspondent,0.565
corridor,0.589
corrosion,0.61
corrosive,0.618
corrupt,0.806
corrupting,0.804
corruption,0.83
corset,0.52
corvette,0.52
cosmic,0.538
cosmopolitan,0.51
costly,0.65
costume,0.51
cougar,0.588
cough,0.627
counsel,0.519
countdown,0.692
counteract,0.542
counterattack,0.951
counterclaim,0.76
counterfeit,0.694
counterpart,0.608
counterpoint,0.509
countless,0.566
coup,0.815
couple,0.605
courage,0.728
courageous,0.587
court,0.769
courthouse,0.503
courtroom,0.67
courts,0.71
coven,0.578
covert,0.57
covet,0.779
coveted,0.73
cowardice,0.621
cowboy,0.625
cowgirl,0.566
crabby,0.812
crack,0.625
cracked,0.52
crackerjack,0.509
cracking,0.557
crackle,0.643
crackpot,0.602
crafty,0.679
cram,0.73
crammed,0.74
cramp,0.796
cramped,0.567
cranial,0.51
cranky,0.776
crap,0.644
crappy,0.582
crash,0.906
crater,0.647
crave,0.51
craving,0.755
crawl,0.519
craze,0.657
crazed,0.877
craziness,0.908
crazy,0.843
creak,0.67
creaking,0.743
create,0.588
creation,0.575
creative,0.518
creativity,0.684
creator,0.592
creature,0.625
credit,0.549
credit card,0.55
creditable,0.51
crediting,0.55
creditor,0.594
creep,0.647
creeper,0.558
creeping,0.613
creepy,0.861
cremation,0.62
crescendo,0.575
cretin,0.583
cretins,0.741
crew,0.598
crewman,0.58
cricket,0.539
cried,0.612
crime,0.943
criminal,0.83
criminality,0.863
crimp,0.557
cringe,0.84
crippling,0.598
crisis,0.811
crisp,0.692
crispy,0.55
critic,0.604
critical,0.802
criticise,0.7
criticism,0.563
criticize,0.708
criticized,0.6
critique,0.76
critter,0.539
crocodile,0.708
crook,0.765
crooked,0.594
croquet,0.519
crossbow,0.598
crossfire,0.896
crossover,0.55
crotch,0.637
crouch,0.606
croupier,0.519
crowbar,0.531
crowd,0.827
crowds,0.723
crown,0.572
crowning,0.594
crucial,0.657
crucifixion,0.857
crucify,0.878
cruel,0.866
cruelly,0.79
cruelty,0.836
cruise ship,0.65
cruising,0.58
crumbling,0.696
crummy,0.531
crunch,0.63
crunchy,0.56
crusade,0.72
crusader,0.588
crush,0.676
crushed,0.647
crusher,0.709
crushing,0.755
crusty,0.531
crux,0.558
cry,0.627
crybaby,0.702
crying,0.704
cryptic,0.516
cuckold,0.573
cuddle,0.559
cuddled,0.547
cuddling,0.562
cull,0.702
culminate,0.55
culmination,0.586
culpability,0.745
culpable,0.7
culprit,0.676
cult,0.535
cumbersome,0.623
cunning,0.685
cunt,0.673
cupping,0.61
cur,0.519
curfew,0.618
curiosity,0.755
curious,0.6
curling,0.592
curse,0.72
cursed,0.783
cursing,0.86
curt,0.61
curtailment,0.578
curvilinear,0.575
cusp,0.71
cuss,0.538
cussed,0.625
custodian,0.625
customized,0.504
cute,0.528
cutie,0.528
cutlass,0.648
cutoff,0.51
cutter,0.731
cutters,0.653
cutthroat,0.823
cutting board,0.54
cyanide,0.667
cyberspace,0.594
cyclist,0.582
cyclone,0.796
cynic,0.632
cynical,0.76
cynicism,0.78
cyst,0.578
cytomegalovirus,0.657
dabble,0.53
dabbling,0.726
dagger,0.797
daiquiri,0.519
dam,0.553
damage,0.726
damaged,0.635
damages,0.76
damn,0.784
damnation,0.75
damned,0.76
dance,0.84
dancer,0.768
dancing,0.868
dandy,0.52
danger,0.923
dangerous,0.941
dangerously,0.93
dangit,0.606
dapper,0.56
dare,0.788
daredevil,0.714
daring,0.84
darkly,0.548
darkness,0.602
darkroom,0.627
darkside,0.69
darn,0.765
dart,0.608
dashing,0.627
dastardly,0.688
datenight,0.637
daze,0.735
dazed,0.697
dazzle,0.782
dazzling,0.88
deadline,0.615
deadlines,0.769
deadly,0.849
deafening,0.835
deal,0.599
dealer,0.615
dearth,0.539
death,0.72
deathbed,0.652
deathly,0.771
debacle,0.606
debased,0.529
debatable,0.61
debate,0.691
debauchery,0.901
debenture,0.5
debriefing,0.58
debt,0.598
debtor,0.546
debut,0.606
debutante,0.627
decadent,0.559
decanter,0.567
decathlon,0.753
decaying,0.51
deceased,0.538
deceit,0.696
deceitful,0.788
deceive,0.775
deceived,0.673
deceiving,0.636
december,0.54
deception,0.745
deceptive,0.605
decide,0.54
decipher,0.63
decision,0.51
decisive,0.509
declaration,0.59
declaratory,0.582
declare,0.623
declination,0.549
decode,0.51
decompose,0.596
decomposition,0.6
decompression,0.52
decontamination,0.538
decorating,0.548
decoration,0.553
decry,0.814
deduce,0.51
deejay,0.63
deem,0.529
deepen,0.53
defamation,0.67
defamatory,0.688
defeat,0.5
defeated,0.582
defeatist,0.567
defect,0.561
defection,0.594
defective,0.58
defector,0.696
defend,0.722
defendant,0.71
defender,0.708
defending,0.871
defense,0.698
defensible,0.509
defensive,0.64
deferral,0.542
deferring,0.5
defiance,0.78
defiant,0.792
defibrillator,0.663
deficit,0.5
deflation,0.536
deflection,0.5
defloration,0.69
deform,0.654
deformity,0.569
defraud,0.635
defray,0.598
deft,0.575
defy,0.884
degeneracy,0.72
degenerate,0.724
degeneration,0.578
degradation,0.608
degrade,0.5
degrading,0.583
dehydrated,0.685
dejected,0.654
delay,0.51
delectable,0.642
deleterious,0.725
deletion,0.506
deliberate,0.654
deliberation,0.678
deliberative,0.552
delicious,0.65
delight,0.666
delighted,0.664
delightful,0.735
delinquency,0.86
delinquent,0.904
delirious,0.774
delirium,0.694
deliverance,0.52
delude,0.627
deluge,0.714
delusion,0.647
delusional,0.745
deluxe,0.612
delve,0.529
demand,0.673
demanding,0.75
demeaned,0.52
demeaning,0.645
demented,0.787
dementia,0.779
demise,0.596
democracy,0.5
democratic,0.519
demolish,0.632
demolished,0.647
demolition,0.827
demon,0.908
demonic,0.875
demonstrate,0.552
demonstrated,0.5
demonstrating,0.571
demonstration,0.676
demonstrative,0.528
demonstrator,0.598
demoralized,0.59
deniability,0.509
denied,0.604
denounce,0.78
dent,0.606
dentist,0.62
dentistry,0.57
dentists,0.6
denunciation,0.83
deny,0.667
denying,0.542
departed,0.536
departure,0.5
depict,0.529
depicting,0.566
deplorable,0.657
deplore,0.575
deploy,0.52
deployment,0.52
deport,0.667
deportation,0.786
deposition,0.51
depraved,0.837
depravity,0.854
depreciate,0.623
depreciated,0.672
depreciation,0.571
depress,0.635
depressing,0.559
depression,0.52
deprivation,0.61
deprive,0.591
deprived,0.506
depth,0.561
deputy,0.53
derail,0.802
deranged,0.868
derision,0.67
derivation,0.519
dermatology,0.5
derogatory,0.58
descend,0.535
desecrate,0.806
desecration,0.833
deserter,0.71
desertion,0.63
deserved,0.582
deserving,0.596
designate,0.538
designation,0.571
designer,0.519
desirability,0.55
desirable,0.735
desire,0.692
desiring,0.821
desirous,0.824
despair,0.794
despairing,0.735
desperado,0.745
desperate,0.842
desperation,0.904
despicable,0.71
despise,0.745
despotic,0.824
despotism,0.696
destroy,0.935
destroyed,0.696
destroyer,0.83
destroying,0.828
destruct,0.868
destruction,0.929
destructive,0.87
detach,0.625
detachment,0.7
detainee,0.51
detect,0.52
detectable,0.539
detection,0.567
detective,0.764
detector,0.63
detention,0.698
deter,0.537
deteriorated,0.549
deterioration,0.512
determinable,0.565
determination,0.725
determined,0.528
detest,0.8
detestation,0.637
detonate,0.85
detonation,0.931
detonator,0.875
detour,0.539
detriment,0.538
detrimental,0.679
devastate,0.796
devastated,0.544
devastating,0.856
devastation,0.904
develop,0.67
developer,0.653
developing,0.587
development,0.5
deviant,0.589
deviate,0.562
deviating,0.634
deviation,0.513
devil,0.9
deviled,0.559
devilish,0.865
devious,0.519
devise,0.557
devotion,0.561
devour,0.888
dexterity,0.673
diabolical,0.912
diagnose,0.52
diagnosis,0.5
dialectic,0.54
dialysis,0.567
diamond,0.606
diamonds,0.684
diarrhea,0.684
diarrhoea,0.692
diatribe,0.569
dicey,0.833
dick,0.5
dickhead,0.608
dicks,0.694
dictator,0.76
dictatorial,0.77
dictatorship,0.806
dictum,0.51
diddle,0.566
die,0.765
died,0.65
difference,0.56
differences,0.582
differentiation,0.561
difficult,0.7
difficulties,0.784
difficulty,0.74
diffusion,0.615
dig,0.585
dignify,0.588
digress,0.625
digs,0.67
dilapidated,0.618
dilatation,0.574
dildo,0.587
dilemma,0.59
dine,0.519
dinosaur,0.63
dip,0.583
dire,0.66
directive,0.53
director,0.58
dirt,0.5
disagree,0.59
disagreeable,0.643
disagreeing,0.643
disagreement,0.618
disallow,0.519
disallowed,0.5
disappearance,0.698
disappoint,0.633
disappointing,0.64
disapproval,0.551
disapprove,0.594
disapproved,0.55
disapproving,0.625
disarm,0.528
disarray,0.657
disaster,0.892
disastrous,0.741
discern,0.566
discerning,0.584
discharge,0.538
disciplinary,0.593
disclaim,0.509
disclaimer,0.571
disclose,0.57
disclosed,0.575
disclosure,0.615
disco,0.806
discomfort,0.719
disconcerted,0.612
disconcerting,0.549
discontent,0.53
discontinuance,0.741
discord,0.882
discount,0.53
discourse,0.55
discover,0.793
discovery,0.627
discredit,0.529
discrepancy,0.643
discriminate,0.761
discriminating,0.783
discrimination,0.724
discuss,0.769
discussion,0.842
disease,0.539
diseased,0.51
disembodied,0.62
disengage,0.529
disfigured,0.613
disgrace,0.531
disgraced,0.661
disgraceful,0.702
disgruntled,0.658
disguise,0.694
disguised,0.615
disgust,0.775
disgusted,0.773
disgusting,0.796
dishonesty,0.592
dishonor,0.62
dishonorable,0.641
disillusionment,0.519
disinfection,0.556
disinformation,0.577
disingenuous,0.509
disintegrate,0.66
disintegration,0.551
disjointed,0.518
disliked,0.51
disliking,0.637
dislocated,0.625
dislocation,0.565
dislodge,0.769
disloyal,0.582
disloyalty,0.716
dismantle,0.644
dismay,0.681
dismayed,0.735
dismemberment,0.86
dismiss,0.541
dismissal,0.723
dismissive,0.541
disobedience,0.868
disobedient,0.706
disobey,0.556
disorder,0.816
disordered,0.714
disorderly,0.748
disorganized,0.507
disoriented,0.643
disown,0.637
disparage,0.663
disparaging,0.626
disparate,0.5
dispatcher,0.704
dispense,0.52
dispersal,0.507
disperse,0.569
dispersion,0.604
displace,0.541
displacement,0.531
displacency,0.528
displease,0.702
displeased,0.69
displeasure,0.559
disposal,0.608
dispose,0.538
disposition,0.542
dispossessed,0.577
disprove,0.625
dispute,0.75
disqualification,0.677
disqualify,0.595
disquieted,0.85
disregard,0.647
disreputable,0.688
disrepute,0.63
disrespect,0.637
disrespectful,0.694
disrupt,0.64
disrupting,0.557
disruption,0.735
disruptive,0.755
dissatisfaction,0.663
dissatisfied,0.561
dissect,0.75
dissection,0.632
disseminate,0.608
dissemination,0.551
dissension,0.618
dissent,0.655
dissenting,0.552
dissertation,0.575
disservice,0.794
dissident,0.582
dissociation,0.555
dissociative,0.615
dissuade,0.5
distaste,0.625
distasteful,0.676
distilled,0.573
distinct,0.578
distinction,0.571
distinctive,0.52
distinguishable,0.53
distinguished,0.593
distort,0.74
distorted,0.521
distortion,0.57
distract,0.609
distracting,0.583
distraction,0.557
distraught,0.903
distress,0.84
distressed,0.771
distressing,0.75
distribute,0.596
distribution,0.548
distrust,0.67
disturb,0.76
disturbance,0.907
disturbed,0.87
disturbing,0.792
diva,0.657
dive,0.531
diver,0.52
diverge,0.657
divergence,0.615
divergent,0.66
diverging,0.613
divers,0.58
diverse,0.519
diversified,0.538
diversify,0.588
diversion,0.821
diversionary,0.587
divert,0.622
diverting,0.571
divest,0.547
divestment,0.509
divide,0.52
divided,0.623
divination,0.65
divine,0.571
divinity,0.559
divisor,0.517
divorce,0.7
divorcee,0.61
divulge,0.718
dizziness,0.555
dizzy,0.582
do,0.548
docked,0.754
docket,0.509
docking,0.596
doctor,0.531
dodge,0.76
dodging,0.654
dodgy,0.51
doer,0.55
dog,0.5
dogged,0.75
dogmatic,0.52
doit,0.519
dollar,0.632
dolor,0.635
domain,0.549
dominance,0.775
dominant,0.854
dominate,0.814
dominating,0.769
domination,0.786
dominatrix,0.727
dominion,0.704
domino,0.51
dontlikeyou,0.5
dontmesswithme,0.635
doom,0.75
doomed,0.755
doomsday,0.861
doorbell,0.5
doorknob,0.553
dope,0.855
dork,0.519
doubled,0.536
doubting,0.56
douchebags,0.587
downcast,0.5
downer,0.594
downfall,0.717
downhill,0.573
downpour,0.602
drafty,0.5
drag,0.606
dragon,0.821
drama,0.755
dramaqueen,0.682
dramatic,0.78
drastic,0.839
drat,0.516
drawbridge,0.557
dread,0.792
dreaded,0.706
dreadful,0.786
dreadfully,0.806
dreading,0.76
dressy,0.57
dribble,0.551
drift,0.52
drifted,0.542
drifter,0.512
drill,0.602
drink,0.552
drinker,0.735
drinks,0.656
drive,0.689
driver,0.538
droll,0.573
drone,0.686
drones,0.577
drooping,0.558
dropout,0.55
drove,0.528
drown,0.86
drudgery,0.522
drug,0.79
drug dealing,0.843
drugged,0.75
druggist,0.561
drugs,0.75
drum,0.679
drummer,0.7
drumming,0.75
drunk,0.8
drunk driving,0.9
drunkard,0.873
drunken,0.849
drunkenness,0.774
duality,0.52
duchess,0.548
ducking,0.573
duel,0.696
duet,0.693
dumbasses,0.59
dumbbitch,0.636
dumfound,0.551
dump,0.5
dumps,0.583
dung,0.549
dungeon,0.608
duo,0.5
dupe,0.76
duplication,0.564
duplicity,0.5
duress,0.569
dusky,0.528
duty,0.579
dying,0.664
dynamic,0.75
dynamical,0.73
dynamics,0.682
dynamite,0.86
dynamo,0.65
dynasty,0.588
dysentery,0.528
dysfunctional,0.558
eager,0.812
eagerness,0.621
eagle,0.594
earn,0.769
earnings,0.65
earring,0.52
earthquake,0.93
eat,0.5
eatingdisorders,0.608
eavesdrop,0.71
ebullient,0.856
eccentric,0.806
eccentricity,0.735
eclectic,0.542
ecliptic,0.52
economical,0.564
ecstasy,0.922
ecstatic,0.769
edema,0.519
edgy,0.895
edict,0.547
eeeek,0.54
eek,0.529
eel,0.564
eerie,0.771
effect,0.518
effective,0.632
effectiveness,0.654
effects,0.578
effectual,0.559
effectually,0.5
effectuate,0.602
effeminate,0.619
efficacious,0.698
efficiency,0.509
efficient,0.604
effort,0.778
effusion,0.73
effyou,0.529
ego,0.576
egomaniac,0.708
egotistical,0.667
egregious,0.716
ejaculate,0.896
ejaculation,0.893
eject,0.656
ejection,0.836
elaboration,0.5
elastic,0.518
elated,0.96
elation,0.853
elect,0.554
election,0.519
elector,0.52
electoral,0.631
electric,0.708
electric slide,0.66
electrical,0.62
electrician,0.59
electricity,0.81
electrify,0.769
electrocute,0.731
electrocution,0.844
electromagnetic,0.632
electronics,0.545
elegant,0.5
elephant,0.51
elevate,0.5
elevated,0.594
elevation,0.759
elevator,0.604
elicit,0.594
eliminate,0.67
elimination,0.667
elite,0.704
elitist,0.606
elixir,0.587
elongation,0.5
elope,0.694
eloquent,0.68
elucidate,0.509
elucidation,0.574
elude,0.521
elusive,0.615
emaciated,0.541
emancipation,0.684
embargo,0.564
embark,0.55
embarrass,0.667
embarrassed,0.56
embarrassing,0.809
embarrassment,0.685
embattled,0.724
embed,0.554
embellish,0.5
embezzlement,0.827
embezzler,0.823
embodiment,0.69
embolism,0.66
embroiled,0.721
emcee,0.577
emerge,0.594
emergence,0.857
emergency,0.9
emery,0.583
emetophobia,0.62
emigrate,0.812
emigration,0.664
eminence,0.644
eminent,0.62
eminently,0.607
emotion,0.873
emotional,0.714
emotive,0.741
empathic,0.57
empathize,0.591
emperor,0.704
emphasis,0.745
emphasize,0.605
emphatic,0.707
emphysema,0.556
empire,0.73
empirical,0.51
employer,0.518
employment,0.594
emporium,0.556
empower,0.779
empress,0.669
enact,0.564
enactment,0.612
encampment,0.573
enchant,0.65
enchanted,0.633
enchanting,0.681
enchantment,0.775
enchantress,0.663
enchilada,0.553
encircle,0.5
encode,0.5
encomiastic,0.5
encounter,0.702
encourage,0.58
encouraged,0.702
encouragement,0.7
encouraging,0.583
encroach,0.742
encroachment,0.736
encumbrance,0.521
endanger,0.885
endangered,0.885
endangerment,0.873
endeavor,0.755
ended,0.5
endgame,0.538
endocarditis,0.587
endowed,0.51
endowment,0.578
endurance,0.745
endure,0.61
enema,0.673
enemy,0.794
energetic,0.868
energize,0.81
energy,0.725
enforce,0.644
enforcement,0.571
enforcer,0.612
engage,0.796
engaged,0.596
engagement,0.587
engaging,0.612
engender,0.741
engine,0.644
engineer,0.5
engrossing,0.702
engulf,0.573
enhance,0.578
enigma,0.7
enigmatic,0.589
enjoy,0.725
enjoying,0.759
enjoyment,0.612
enlarge,0.606
enlargement,0.577
enlighten,0.549
enlightened,0.566
enlightening,0.729
enlightenment,0.549
enliven,0.683
enmity,0.706
enormity,0.648
enormous,0.665
enormously,0.694
enraged,0.962
enrich,0.731
enroll,0.53
enslave,0.8
enslaved,0.72
enslavement,0.635
entail,0.63
entangled,0.578
entanglement,0.765
enterprising,0.784
entertain,0.684
entertained,0.644
entertainer,0.709
entertaining,0.658
entertainment,0.75
enthralled,0.602
enthusiasm,0.816
enthusiast,0.81
enthusiastic,0.868
entice,0.887
entourage,0.567
entrails,0.538
entrapment,0.604
entreat,0.56
entrepreneur,0.704
envious,0.754
envy,0.704
epic,0.713
epidemic,0.83
epilepsy,0.854
epileptic,0.794
epiphany,0.596
episodic,0.542
epitome,0.5
equestrian,0.519
equip,0.519
eradicate,0.69
eradication,0.788
erect,0.885
erectile,0.796
erection,0.856
erode,0.643
erosion,0.77
erotic,0.946
erotica,0.87
err,0.66
errand,0.519
errant,0.602
erratic,0.503
erratum,0.528
erroneous,0.561
error,0.559
erupt,0.82
eruption,0.913
escalade,0.724
escalate,0.714
escalating,0.724
escalation,0.807
escalator,0.53
escape,0.765
escaped,0.755
escarpment,0.553
escrow,0.52
esoteric,0.676
espionage,0.75
espouse,0.529
espresso,0.62
esquire,0.542
establish,0.5
estrogen,0.5
eternity,0.52
eugenics,0.53
eulogistic,0.623
eulogize,0.518
euphoria,0.955
euphoric,0.904
euthanasia,0.716
evacuate,0.792
evacuation,0.755
evaluate,0.64
evaluation,0.667
evanescence,0.519
evasion,0.51
evasive,0.596
event,0.673
eventful,0.837
eventuality,0.627
evict,0.632
eviction,0.731
evidence,0.5
evidentiary,0.541
evil,0.827
evolution,0.657
evolutionary,0.673
evolve,0.692
ex,0.52
exacerbate,0.776
exacerbation,0.81
exacting,0.673
exaggerate,0.76
exaggerated,0.885
exaggeration,0.775
exalt,0.75
exaltation,0.892
exalted,0.845
exam,0.663
examination,0.657
examine,0.623
examiner,0.575
exasperated,0.816
exasperation,0.833
excavate,0.613
excavation,0.644
excavator,0.673
exceed,0.827
exceeding,0.802
excellence,0.62
excellent,0.587
excelsior,0.625
exception,0.6
exceptional,0.74
excess,0.889
excessive,0.731
excessively,0.882
exchange,0.569
excise,0.561
excitability,0.91
excitable,0.939
excitation,0.958
excite,0.95
excited,0.931
excitement,0.684
exciting,0.792
exclaim,0.711
exclamation,0.745
exclude,0.5
excluded,0.54
excluding,0.55
exclusion,0.53
exclusive,0.63
excrement,0.558
excretion,0.65
excruciating,0.837
excursion,0.714
excuse,0.696
execute,0.708
execution,0.811
executioner,0.816
executor,0.755
exemplar,0.537
exemplify,0.506
exemption,0.578
exercise,0.789
exert,0.735
exertion,0.755
exhaust,0.71
exhaustion,0.633
exhaustive,0.635
exhibit,0.633
exhibition,0.59
exhilarated,0.963
exhilarating,0.823
exhilaration,0.868
exhort,0.66
exhortation,0.624
exhumation,0.586
exhume,0.627
exigent,0.611
exile,0.63
existence,0.513
existential,0.51
exodus,0.663
exonerate,0.5
exorbitant,0.865
exorcism,0.98
exorcist,0.906
exotic,0.711
expand,0.559
expanse,0.529
expansion,0.618
expansive,0.65
expatriate,0.764
expectance,0.724
expectancy,0.622
expectant,0.65
expectation,0.69
expedite,0.858
expedition,0.802
expeditious,0.645
expel,0.725
expenditure,0.608
expenses,0.633
expensive,0.54
experience,0.618
experienced,0.613
experiences,0.647
experiment,0.72
experimental,0.764
experimentation,0.769
experimenter,0.71
expert,0.646
expertise,0.589
expiration,0.539
expire,0.745
explain,0.517
explanation,0.61
expletive,0.567
explicit,0.694
explode,0.885
exploit,0.878
exploitation,0.92
exploration,0.65
exploratory,0.69
explore,0.66
explorer,0.663
explosion,0.96
explosions,0.86
explosive,0.943
expo,0.562
exponent,0.51
exponential,0.588
export,0.661
exportation,0.633
expose,0.643
exposed,0.661
exposition,0.627
expository,0.653
exposure,0.83
expound,0.575
express,0.623
expression,0.65
expressive,0.724
expressway,0.635
expropriation,0.735
expulsion,0.79
exquisite,0.644
exquisitely,0.728
extend,0.57
extendable,0.592
extension,0.51
extensive,0.52
exterminate,0.857
extermination,0.86
exterminator,0.804
externally,0.521
extinction,0.75
extinguish,0.576
extol,0.667
extort,0.827
extortion,0.868
extra,0.551
extracting,0.709
extraction,0.74
extractor,0.536
extradition,0.627
extrajudicial,0.686
extramural,0.559
extraneous,0.625
extraordinaire,0.864
extraordinary,0.728
extraterrestrial,0.833
extravagance,0.802
extravagant,0.763
extravaganza,0.786
extreme,0.8
extreme anticipation,0.74
extreme disgust,0.873
extreme surprise,0.935
extreme trust,0.713
extremely,0.827
extremely negative,0.786
extremely positive,0.73
extremity,0.588
extricate,0.51
extrusion,0.66
exuberance,0.816
exude,0.519
eyeful,0.5
eyewitness,0.686
fabled,0.538
fabrication,0.587
fabulous,0.66
facility,0.5
facsimile,0.5
factory,0.5
fad,0.52
fag,0.653
faggot,0.643
fail,0.578
failure,0.575
fainting,0.51
fair,0.557
fairway,0.51
faithless,0.683
fake,0.554
faker,0.63
falcon,0.58
fall,0.657
fallacious,0.587
fallacy,0.561
fallible,0.537
falling,0.716
falsehood,0.625
falsification,0.72
falsified,0.63
falsify,0.657
falsity,0.689
falter,0.65
fame,0.755
famed,0.75
famine,0.679
famished,0.654
famous,0.775
famously,0.765
fanatic,0.78
fanatical,0.83
fanaticism,0.896
fanciful,0.592
fancy,0.673
fandango,0.591
fanfare,0.64
fangs,0.598
fantasia,0.694
fantasize,0.66
fantastic,0.696
fantasy,0.627
farce,0.667
farewell,0.5
farther,0.5
fascinate,0.683
fascinated,0.714
fascinating,0.817
fascination,0.773
fascism,0.74
fascist,0.755
fashion,0.616
fashionable,0.51
fastball,0.679
fasten,0.585
fatal,0.775
fatalism,0.694
fatality,0.798
fateful,0.583
fathead,0.527
fatherhood,0.519
fatten,0.549
fault,0.558
faultless,0.5
faulty,0.52
favorite,0.59
favoriteholiday,0.618
favoritism,0.559
faze,0.515
fear,0.84
feared,0.733
fearfully,0.567
fearing,0.566
fearless,0.806
fears,0.821
fearsome,0.9
feast,0.724
feat,0.706
febrile,0.578
fecal,0.528
fecundity,0.591
fedup,0.5
feedback,0.557
feel,0.602
feigned,0.602
feisty,0.853
felicity,0.704
feline,0.745
feller,0.622
felon,0.898
felony,0.808
female,0.52
feminine,0.52
feminism,0.57
feminist,0.56
femme,0.529
fencing,0.654
fend,0.731
ferment,0.531
fermentation,0.567
ferocious,0.915
ferocity,0.906
ferry,0.509
fertility,0.529
fervent,0.632
fervor,0.769
fest,0.574
festival,0.706
festive,0.74
fete,0.551
fetish,0.706
fetus,0.519
feud,0.796
fever,0.674
feverish,0.696
fiancee,0.626
fiasco,0.6
fib,0.51
fiction,0.657
fiddler,0.58
fidelity,0.58
fidgety,0.786
field hockey,0.786
fiend,0.903
fiendish,0.846
fierce,0.877
fiery,0.85
fiesta,0.779
fiesty,0.663
fight,0.868
fighter,0.76
fighting,0.885
fights,0.92
filibuster,0.714
filly,0.564
filmmaker,0.51
filmy,0.51
filth,0.592
filthy,0.714
filtration,0.52
final,0.575
finalist,0.686
finalize,0.55
financial,0.5
financier,0.5
find,0.555
finder,0.55
fingerscrossed,0.54
fink,0.514
fire,0.804
firearm,0.943
firearms,0.943
fireball,0.777
firecracker,0.741
firefight,0.92
firefighter,0.77
firehouse,0.689
firelight,0.504
fireman,0.745
firepower,0.941
fireproof,0.679
firestorm,0.929
firewall,0.602
firework,0.904
fireworks,0.863
firing,0.931
firmly,0.51
first,0.5
firstworldprobs,0.612
fiscal,0.582
fishery,0.503
fishy,0.601
fission,0.5
fissure,0.51
fist,0.686
fistfight,0.902
fistful,0.509
fitness,0.529
fix,0.538
fizz,0.708
flabbergast,0.679
flabbergasted,0.802
flagging,0.519
flagrant,0.673
flagship,0.587
flagstaff,0.517
flak,0.6
flaky,0.509
flamboyant,0.794
flame,0.574
flamethrower,0.882
flaming,0.645
flammable,0.8
flanking,0.622
flapping,0.728
flare,0.823
flares,0.642
flaring,0.771
flash,0.59
flashing,0.574
flashy,0.6
flattered,0.608
flattering,0.686
flattery,0.575
flatulence,0.632
flaunt,0.611
fleabag,0.557
fled,0.639
flee,0.796
fleeting,0.65
fleshy,0.518
flexin,0.559
flexion,0.551
flick,0.541
flight,0.63
flighty,0.602
flinch,0.804
fling,0.696
flip,0.529
flip flop,0.519
flipping,0.551
flirt,0.79
flirtation,0.719
flirting,0.773
flirty,0.721
flock,0.546
flog,0.52
flood,0.778
flop,0.642
flourish,0.573
flowering,0.627
flu,0.547
fluctuate,0.617
fluctuating,0.591
fluctuation,0.75
flue,0.688
fluency,0.504
fluent,0.5
fluidity,0.51
flunk,0.548
fluorescent,0.595
flurries,0.76
flurry,0.76
flush,0.755
flustered,0.903
flutter,0.548
fly,0.775
flyboy,0.647
flying,0.606
foal,0.578
foe,0.827
folklore,0.585
follow,0.509
folly,0.833
fond,0.602
fondling,0.564
fool,0.56
fooled,0.692
foolhardy,0.816
fooling,0.755
football,0.76
footloose,0.595
footwork,0.54
fop,0.561
foray,0.618
forbid,0.686
forbidding,0.781
force,0.75
forced,0.721
forceful,0.673
forceps,0.615
forces,0.686
forcibly,0.704
foreboding,0.706
forecaster,0.611
foreclose,0.582
foreclosure,0.651
forefront,0.559
forego,0.661
foregone,0.567
foreign,0.681
foreigner,0.519
foreman,0.612
foremost,0.593
forensic,0.627
forensics,0.545
foreplay,0.627
forerunner,0.54
forestall,0.55
forewarned,0.618
forfeit,0.635
forfeited,0.65
forfeiture,0.588
forger,0.673
forgery,0.654
forked,0.585
forking,0.596
forklift,0.537
forlorn,0.571
formidable,0.709
fornicate,0.933
fornication,0.951
forsake,0.567
fort,0.673
forte,0.737
forthcoming,0.509
forthwith,0.606
fortification,0.769
fortify,0.824
fortitude,0.608
fortnight,0.65
fortress,0.5
fortunate,0.639
fortune,0.731
fortunes,0.706
forwarding,0.537
fox,0.555
foxhole,0.539
foxtrot,0.52
foxy,0.642
fracture,0.74
fragmentary,0.52
fragrant,0.598
frankenstorm,0.726
frankness,0.612
frantic,0.89
frantically,0.898
fraternity,0.536
fraud,0.688
fraudulent,0.774
fraught,0.662
fray,0.542
freak,0.839
freaked,0.917
freakedout,0.688
freakingout,0.769
freakish,0.915
freakout,0.696
freaky,0.615
free,0.5
freebie,0.596
freedom,0.544
freehold,0.63
freelance,0.577
freelancer,0.564
freestyle,0.652
freeway,0.644
freight,0.528
frenetic,0.93
frenzied,0.951
frenzy,0.965
frequency,0.557
freshman,0.57
freshstart,0.58
fretful,0.689
fricking,0.642
friction,0.778
friends,0.51
frigate,0.51
friggen,0.55
fright,0.816
frighten,0.843
