term,arousal
cockpit,0.424
cocktail,0.48
cocoa,0.255
coconut,0.265
cocoon,0.28
cod,0.321
code,0.308
codex,0.488
codfish,0.245
codification,0.4
codify,0.41
coding,0.344
coefficient,0.415
coexist,0.46
coexistence,0.472
coexisting,0.349
coffee,0.418
coffee table,0.339
coffeehouse,0.357
coffeepot,0.333
coffin,0.432
cog,0.343
cogent,0.479
cognate,0.35
cognition,0.344
cognitive,0.401
coherence,0.406
coherent,0.281
cohesive,0.47
coil,0.343
coinage,0.4
coincide,0.49
coincidence,0.45
coincident,0.385
coincidental,0.481
coinciding,0.373
coke,0.461
cola,0.325
coldly,0.358
coldness,0.47
coldsweat,0.491
coleslaw,0.312
collaborate,0.449
collaborator,0.32
collage,0.321
collagen,0.245
collar,0.442
collarbone,0.427
collate,0.448
collateral,0.422
collation,0.333
colleague,0.413
collect,0.481
collected,0.402
collection,0.311
collective,0.458
collector,0.481
college,0.467
collegiate,0.461
collie,0.308
collocation,0.36
colloquial,0.363
cologne,0.413
colon,0.394
colonial,0.327
colonic,0.42
colony,0.353
colophon,0.408
color,0.28
colored,0.317
coloring,0.469
colorless,0.34
colors,0.349
column,0.25
columnar,0.34
columnist,0.365
com,0.382
coma,0.255
comatose,0.438
comb,0.123
combination,0.48
combinatorial,0.436
combine,0.442
combined,0.37
combo,0.439
come,0.269
comeback,0.409
comfort,0.231
comfortable,0.163
comforter,0.275
comforting,0.337
comfy,0.241
comic,0.459
coming,0.417
comma,0.269
commandment,0.49
commemorative,0.438
commensurate,0.304
comment,0.417
commentary,0.402
commercial,0.49
commission,0.48
commissioner,0.449
committee,0.392
commodity,0.394
common,0.127
commoner,0.365
commonly,0.17
commonplace,0.337
commons,0.396
commonwealth,0.406
communal,0.321
commune,0.488
communicable,0.491
communicate,0.41
communication,0.4
communion,0.357
community,0.35
commutation,0.431
commutative,0.442
comp,0.45
compact,0.417
compaction,0.471
compactness,0.352
companion,0.377
companionless,0.259
companionship,0.438
company,0.425
comparable,0.443
comparative,0.273
comparatively,0.391
compare,0.408
comparison,0.456
compartment,0.389
compass,0.307
compassion,0.258
compassionate,0.404
compatibility,0.45
compatible,0.387
compendium,0.461
compensate,0.429
compensation,0.469
compensatory,0.49
compile,0.413
complacent,0.452
complement,0.277
complementary,0.32
complete,0.414
completed,0.357
completely,0.37
completeness,0.433
completion,0.47
compliance,0.462
compliant,0.31
compliment,0.49
complimentary,0.413
comply,0.37
complying,0.423
compo,0.346
component,0.382
compose,0.432
composed,0.385
composite,0.459
composition,0.408
compost,0.404
composure,0.354
compound,0.385
comprehend,0.365
comprehension,0.387
comprehensive,0.385
compress,0.412
compressed,0.396
compressible,0.392
compressor,0.481
comprise,0.373
comptroller,0.481
computable,0.402
computation,0.429
compute,0.408
computer,0.356
computerized,0.45
computing,0.398
comrade,0.412
concave,0.349
conceal,0.436
concealed,0.363
concede,0.324
conceivable,0.35
concentrate,0.439
concentric,0.479
concept,0.265
conception,0.49
concession,0.423
concessional,0.493
conch,0.306
concierge,0.343
conciliation,0.475
concise,0.298
conclave,0.44
conclude,0.267
concluding,0.382
conclusion,0.377
conclusive,0.427
concoction,0.459
concomitant,0.482
concord,0.32
concordance,0.358
concrete,0.42
concur,0.394
condensation,0.316
condensed,0.415
condescending,0.363
condescension,0.377
condiment,0.333
condition,0.469
conditional,0.343
conditionally,0.419
conditioned,0.417
conditioner,0.36
conditioning,0.468
conditions,0.441
condo,0.288
condolence,0.443
condolences,0.48
condone,0.441
condor,0.388
conducive,0.479
conduit,0.302
cone,0.208
confederation,0.404
confer,0.482
confessional,0.392
confide,0.472
confidence,0.276
confident,0.324
confidential,0.471
confidentiality,0.431
confidentially,0.469
configuration,0.443
confined,0.472
confines,0.386
confirm,0.439
confirmation,0.48
confirmed,0.49
conform,0.38
conformance,0.278
conformation,0.435
conformity,0.363
congenial,0.412
congenital,0.434
congregation,0.49
congress,0.444
congressional,0.491
congressman,0.471
congruence,0.472
conic,0.368
conical,0.422
conjecture,0.398
conjugate,0.42
conjugation,0.429
conjunction,0.472
conjunctive,0.444
conk,0.469
connect,0.299
connective,0.491
connoisseur,0.461
conscience,0.375
conscientious,0.404
conscious,0.333
consciousness,0.483
consecration,0.418
consecutive,0.418
consensual,0.417
consensus,0.358
consenting,0.406
consequent,0.471
conservation,0.401
conservatism,0.369
conservative,0.316
conservatory,0.24
conserve,0.347
consider,0.368
considerable,0.314
considerate,0.38
consideration,0.38
consignee,0.385
consignment,0.44
consist,0.386
consistent,0.431
consolation,0.25
console,0.398
consoled,0.343
consolidate,0.44
consolidated,0.366
consolidation,0.445
consonant,0.347
constancy,0.443
constant,0.296
constituency,0.48
constituents,0.414
constitute,0.349
constitution,0.38
constitutional,0.418
constitutionality,0.439
consul,0.354
consulate,0.453
consult,0.37
consultant,0.344
consultation,0.463
contact,0.424
contain,0.49
container,0.396
containment,0.491
contemplate,0.347
contemplation,0.324
contemplative,0.308
contemporaneous,0.373
contemporary,0.365
content,0.296
contents,0.375
context,0.3
contiguous,0.45
continence,0.396
continent,0.373
continental,0.35
continual,0.423
continually,0.438
continuation,0.47
continue,0.427
continued,0.44
continuity,0.439
continuously,0.417
continuum,0.39
contour,0.265
contract,0.412
contracting,0.49
contractor,0.479
contrary,0.449
contrast,0.406
contribute,0.35
contribution,0.452
contrite,0.363
control,0.352
controlling,0.441
convalescent,0.48
convection,0.494
convenience,0.448
conveniences,0.412
convenient,0.491
convent,0.217
conventional,0.292
converge,0.471
convergence,0.491
convergent,0.49
conversant,0.36
conversational,0.431
conversationalist,0.467
converse,0.406
conversing,0.409
converted,0.418
convex,0.427
convexity,0.354
conveyancing,0.479
coo,0.439
cookbook,0.346
cooker,0.373
cookery,0.368
cookie,0.306
cookies,0.451
cookout,0.406
coolant,0.412
cooler,0.375
cooling,0.324
coolness,0.307
coon,0.46
coop,0.445
cooperate,0.451
cooperating,0.39
cooperation,0.473
cooperative,0.461
coordinate,0.429
coordination,0.454
copacetic,0.471
copier,0.345
copious,0.462
copper,0.26
copy,0.24
copying,0.315
copyright,0.402
coral,0.231
cord,0.378
cordial,0.312
cordless,0.441
cordon,0.317
corduroy,0.324
core,0.378
cork,0.25
corkscrew,0.443
corn,0.196
cornball,0.378
cornbread,0.304
cornea,0.346
corned,0.441
corner,0.296
cornerstone,0.388
cornfield,0.31
cornflakes,0.346
cornice,0.441
cornstarch,0.299
corny,0.37
corollary,0.469
corona,0.439
corporal,0.49
corporate,0.454
corporation,0.332
corporeal,0.35
corps,0.453
corpsman,0.469
corpus,0.34
correct,0.306
correction,0.485
correctness,0.45
correlation,0.462
correlative,0.402
correspond,0.452
correspondence,0.423
corresponding,0.423
corroborate,0.471
corroboration,0.431
corsage,0.294
corse,0.451
cortex,0.439
cortical,0.423
cortisone,0.395
cosmetic,0.304
cosmetics,0.464
cosmology,0.438
cosmos,0.478
cost,0.42
cosy,0.255
cot,0.23
cote,0.344
cottage,0.279
cotton,0.071
couch,0.082
council,0.279
councilman,0.367
counseling,0.48
counsellor,0.327
counselor,0.365
count,0.389
countenance,0.44
counter,0.478
counterbalance,0.48
countess,0.44
country,0.394
countryman,0.441
countrymusic,0.451
countryside,0.288
counts,0.373
county,0.368
coupe,0.46
coupled,0.286
coupling,0.479
coupon,0.3
courier,0.383
courses,0.412
coursing,0.472
courteous,0.396
courtesy,0.287
courtship,0.49
courtside,0.391
courtyard,0.365
cousin,0.394
cousins,0.409
cove,0.304
covenant,0.462
cover,0.24
coverage,0.413
covered,0.34
covering,0.382
cow,0.23
coward,0.49
cowardly,0.385
cowhand,0.48
cowhide,0.324
cowl,0.45
coworker,0.49
coy,0.33
coyote,0.471
cozy,0.356
crab,0.396
cracker,0.343
cradle,0.194
craft,0.321
crafts,0.38
craftsman,0.31
craftsmanship,0.373
craig,0.449
cranberry,0.33
cranberry juice,0.321
crane,0.417
cranium,0.491
crank,0.275
cranny,0.471
craps,0.42
crass,0.49
crate,0.173
crawfish,0.427
crayon,0.26
crayons,0.366
cream,0.259
creamed,0.273
creamer,0.192
creamy,0.337
crease,0.286
credence,0.46
credential,0.337
credentials,0.373
credibility,0.427
credible,0.441
credited,0.39
creed,0.245
creek,0.392
creole,0.357
crepe,0.224
crescent,0.382
crest,0.333
crestfallen,0.346
crevice,0.471
crib,0.24
crimson,0.385
cripple,0.392
crippled,0.358
criterion,0.41
croak,0.346
croc,0.452
crock,0.412
crockery,0.216
croft,0.429
croissant,0.33
crop,0.26
cross,0.321
cross country,0.441
crossed,0.49
crossing,0.349
crosswalk,0.441
crossword,0.423
crouched,0.363
crouching,0.429
crow,0.439
crowded,0.286
cruciate,0.435
crucifix,0.48
crud,0.33
crude,0.402
cruise,0.442
cruiser,0.49
crumb,0.255
crumble,0.48
crust,0.337
crutch,0.294
crypt,0.431
cryptography,0.415
crystal,0.27
crystalline,0.235
crystallization,0.449
cub,0.382
cubby,0.385
cube,0.226
cubic,0.306
cubicle,0.343
cuckoo,0.459
cucumber,0.235
cuddles,0.382
cue,0.433
cuff,0.453
cuisine,0.365
culinary,0.443
cultivate,0.41
cultivated,0.343
cultivation,0.324
cultural,0.39
culture,0.304
cultured,0.429
culvert,0.324
cumulus,0.433
cup,0.167
cupboard,0.2
cupcake,0.333
curable,0.292
curate,0.418
curative,0.318
curator,0.389
curb,0.371
curd,0.442
cure,0.377
curl,0.452
currency,0.418
current,0.312
curriculum,0.306
curry,0.345
cursory,0.451
curtail,0.439
curtain,0.278
curtains,0.123
curtsy,0.412
curvature,0.367
curve,0.375
curved,0.407
cushion,0.221
cushy,0.283
custard,0.26
custodial,0.462
custody,0.472
custom,0.382
customary,0.253
customer,0.43
cut,0.49
cutaneous,0.37
cuticle,0.32
cutlery,0.3
cutting,0.375
cuttings,0.392
cwt,0.41
cycle,0.4
cyclical,0.45
cylinder,0.324
cylindrical,0.294
cymbal,0.363
cystic,0.481
cytoplasm,0.442
czar,0.348
dab,0.337
dad,0.412
daddy,0.4
dado,0.24
daemon,0.49
daft,0.436
daily,0.347
dainty,0.284
dairy,0.255
daisy,0.367
dak,0.417
dale,0.27
dame,0.48
damp,0.279
dampened,0.422
damper,0.378
damsel,0.475
dandruff,0.298
dangle,0.469
dank,0.381
daresay,0.451
dark,0.398
darken,0.471
darkened,0.44
darling,0.37
dash,0.312
dashboard,0.371
dashed,0.393
data,0.25
database,0.286
date,0.231
daughter,0.415
dawdle,0.464
dawn,0.235
dawned,0.471
day,0.269
daybreak,0.358
daycare,0.481
daydream,0.337
daydreaming,0.36
daylight,0.42
daymade,0.45
dayoff,0.368
daytime,0.324
deacon,0.43
deactivate,0.447
dead,0.454
deadbeat,0.453
deadlock,0.418
deaf,0.324
deafness,0.413
dealership,0.43
dealing,0.415
dealings,0.491
dean,0.469
dear,0.434
dearest,0.427
debilitating,0.49
debit,0.4
debrief,0.343
debris,0.396
decade,0.402
decadence,0.455
decaf,0.324
decay,0.312
decayed,0.375
decedent,0.481
decency,0.235
decent,0.296
decidedly,0.48
deciduous,0.353
decimal,0.259
decimeter,0.292
deck,0.333
decline,0.491
declining,0.4
deco,0.274
decoder,0.34
decomposed,0.442
decompress,0.43
decor,0.311
decorate,0.37
decorative,0.46
decorator,0.471
decorum,0.327
decoy,0.46
decrease,0.36
decreased,0.271
decreasing,0.346
decree,0.478
decrement,0.427
decrepit,0.49
decryption,0.445
dedicate,0.431
dedication,0.471
deduct,0.33
deductible,0.286
deduction,0.462
deed,0.32
deep,0.473
deer,0.375
default,0.343
defended,0.451
defenseless,0.357
defer,0.459
deference,0.396
deficiency,0.373
deficient,0.464
define,0.415
defined,0.214
definite,0.292
definition,0.375
definitive,0.479
deflate,0.404
deflect,0.491
deformed,0.435
defrost,0.317
defunct,0.491
defuse,0.48
degraded,0.433
degree,0.365
dehydration,0.472
delayed,0.49
delegate,0.491
delegation,0.431
delete,0.298
deli,0.448
delicacy,0.279
delicate,0.294
delicatessen,0.474
delineate,0.43
delineation,0.402
deliver,0.37
delivery,0.461
dell,0.38
delta,0.343
demeanor,0.433
demo,0.314
democrat,0.4
demographic,0.356
demonstrable,0.471
demos,0.37
demure,0.315
den,0.347
denial,0.435
denim,0.382
denomination,0.363
denominational,0.375
denominator,0.41
denote,0.471
dense,0.343
density,0.471
dental,0.404
deodorant,0.265
depart,0.48
department,0.358
departmental,0.422
depend,0.429
dependable,0.357
dependant,0.404
dependence,0.451
dependency,0.365
dependent,0.455
depletion,0.37
depose,0.42
deposit,0.379
depositary,0.431
depository,0.373
depot,0.255
depressed,0.445
depressive,0.434
depresson,0.4
derelict,0.47
derivative,0.491
derive,0.324
dermal,0.406
dermatologist,0.358
derogation,0.46
descendant,0.42
descendent,0.48
descending,0.493
descent,0.402
describe,0.472
description,0.425
descriptive,0.352
desert,0.279
deserted,0.48
deserve,0.436
design,0.327
designated,0.412
designed,0.38
designing,0.355
desist,0.358
desk,0.135
desolate,0.32
desolation,0.481
despatch,0.4
despondent,0.378
dessert,0.491
destination,0.471
destined,0.462
destiny,0.413
destitute,0.451
detached,0.396
detail,0.406
detailed,0.314
details,0.367
detain,0.345
detergent,0.304
deteriorate,0.471
deteriorating,0.459
determinate,0.314
determine,0.368
deterrent,0.461
detract,0.438
detritus,0.353
deuce,0.338
deutschmark,0.431
devalued,0.462
device,0.404
devoid,0.436
devolution,0.434
devolve,0.427
devote,0.49
devoted,0.32
devotee,0.461
devotional,0.394
devout,0.357
dew,0.225
dexter,0.473
dextrose,0.402
diabetes,0.472
diabetic,0.269
diagnostic,0.483
diagnostics,0.44
diagonal,0.343
diagram,0.357
dial,0.427
dialect,0.422
dialogue,0.441
diameter,0.298
diaper,0.274
diaphragm,0.337
diary,0.292
dib,0.37
dibs,0.41
dice,0.441
dichotomous,0.452
dichotomy,0.482
dictate,0.423
dictation,0.378
diction,0.373
dictionary,0.25
didactic,0.48
diesel,0.327
diet,0.235
dietary,0.22
differ,0.398
different,0.394
differential,0.378
differently,0.431
differing,0.41
diffuse,0.431
digest,0.413
digestion,0.41
digestive,0.413
digit,0.286
digital,0.382
dignified,0.481
dignity,0.391
dike,0.384
dilation,0.49
diligence,0.423
diligent,0.426
dill,0.36
diluent,0.344
dilute,0.192
diluted,0.31
dilution,0.337
dim,0.321
dime,0.317
dimension,0.415
dimensional,0.484
diminish,0.357
diminished,0.269
diminution,0.296
diminutive,0.2
dimwit,0.459
din,0.417
diner,0.302
dinghy,0.269
dingo,0.472
dingy,0.483
dining,0.35
dinky,0.451
dinner,0.392
dinnertime,0.406
dint,0.48
diocesan,0.283
diocese,0.288
diorama,0.441
dioxide,0.433
diploma,0.462
diplomacy,0.396
diplomat,0.262
diplomatic,0.363
dipper,0.361
dippy,0.402
dipstick,0.312
direct,0.403
directed,0.49
direction,0.33
directly,0.4
directory,0.413
dirty,0.46
disability,0.482
disable,0.43
disabled,0.443
disadvantage,0.377
disaffected,0.41
disapointment,0.418
disappear,0.441
disappearing,0.427
disappointed,0.472
disappointment,0.49
disband,0.491
disbelief,0.409
disbelieve,0.441
disburse,0.473
disbursement,0.443
disc,0.41
discard,0.343
discarded,0.46
discards,0.464
discernible,0.441
discernment,0.471
disciple,0.385
discipline,0.471
disciplined,0.45
discoloration,0.373
discolored,0.34
disconnect,0.292
disconnected,0.276
disconnection,0.283
disconnects,0.357
discontinue,0.396
discontinuity,0.439
discontinuous,0.409
discounted,0.471
discourage,0.443
discouraged,0.304
discouragement,0.319
discouraging,0.469
discredited,0.491
discreet,0.216
discrete,0.231
discretion,0.32
discretionary,0.365
discus,0.423
disdain,0.446
disdainful,0.48
disengagement,0.373
dish,0.255
disheartened,0.343
disheartening,0.353
dishonest,0.491
dishwasher,0.296
disinclination,0.491
disincline,0.454
disinclined,0.442
disinfect,0.388
disinfectant,0.429
disinterested,0.284
disjoint,0.385
disjunctive,0.481
disk,0.423
diskette,0.255
dislike,0.406
dismal,0.45
dismount,0.423
disorientation,0.472
disparity,0.482
dispassionate,0.217
dispatch,0.417
dispel,0.402
dispensary,0.38
dispensation,0.462
dispenser,0.392
dispersed,0.49
dispirited,0.28
displaced,0.472
display,0.325
disposable,0.439
disposed,0.441
disqualified,0.464
disregarded,0.458
disrelish,0.471
dissimilar,0.461
dissipate,0.368
dissipated,0.421
dissolution,0.464
dissolve,0.49
dissonance,0.471
distal,0.401
distance,0.317
distant,0.324
distillate,0.347
distillation,0.436
distinguish,0.471
distinguishing,0.363
distracted,0.392
distributor,0.447
district,0.327
disuse,0.229
disused,0.302
ditch,0.364
ditto,0.418
ditty,0.433
diurnal,0.296
divan,0.202
diversity,0.472
divested,0.449
dividend,0.491
divisible,0.462
division,0.481
divvy,0.462
doable,0.404
doc,0.317
docile,0.259
dock,0.409
doctorate,0.479
doctrinal,0.373
doctrine,0.394
document,0.24
documentary,0.213
documentation,0.29
documents,0.25
dodger,0.454
dodo,0.306
doe,0.336
dogface,0.47
doggy,0.491
doghouse,0.417
dogma,0.46
dogsick,0.49
doings,0.491
dojo,0.435
doldrums,0.425
dole,0.402
doll,0.321
dollhouse,0.245
dolphin,0.35
dome,0.398
domestic,0.327
domesticated,0.36
domestication,0.39
domicile,0.292
domiciled,0.34
don,0.454
donate,0.462
donation,0.398
donkey,0.367
donor,0.49
dontmess,0.482
dontpanic,0.465
dontunderstand,0.357
doodle,0.402
door,0.189
doorman,0.371
doormat,0.269
doornail,0.37
doorstep,0.274
doorway,0.304
dopamine,0.469
dopey,0.38
dorky,0.48
dorm,0.194
dormant,0.245
dormitory,0.204
dorsal,0.36
dosage,0.45
dose,0.49
dossier,0.38
dot,0.29
doting,0.415
dotted,0.347
dotty,0.402
double,0.378
doublet,0.431
doubling,0.452
doubt,0.351
doubtful,0.465
doubtless,0.415
doubts,0.448
douche,0.413
dough,0.229
doughboy,0.443
doughnut,0.38
dour,0.404
douse,0.453
dove,0.235
down,0.33
downfield,0.33
downhearted,0.461
download,0.49
downright,0.454
downriver,0.469
downside,0.4
downtime,0.226
downward,0.347
downy,0.17
dowry,0.453
doze,0.2
dozen,0.343
drab,0.3
draft,0.36
dragonfly,0.373
drain,0.47
drainage,0.354
drained,0.441
draining,0.396
drainpipe,0.413
drake,0.411
drape,0.439
drapery,0.22
draught,0.245
draw,0.449
drawback,0.422
drawer,0.196
drawers,0.26
drawing,0.216
dream,0.157
dreamboat,0.491
dreamer,0.394
dreaming,0.32
dreamland,0.471
dreams,0.415
dreamt,0.38
dreamy,0.35
dreary,0.49
dredge,0.445
drenched,0.361
dress,0.3
dresser,0.398
dressmaker,0.46
dried,0.26
drier,0.347
driftwood,0.283
drinking,0.459
drip,0.193
dripping,0.257
drivel,0.469
driveway,0.392
drizzle,0.353
drool,0.398
droopy,0.35
drop,0.321
droplet,0.208
dropper,0.216
drought,0.353
drowsiness,0.194
drowsy,0.18
drugstore,0.343
druid,0.445
dry,0.169
dryer,0.343
dryness,0.296
dual,0.33
dualism,0.406
dub,0.48
dubious,0.48
duck,0.337
duckling,0.353
ducky,0.43
duct,0.435
ductile,0.42
dud,0.455
dude,0.356
duds,0.311
due,0.34
dues,0.461
duffel,0.4
dugout,0.37
duh,0.461
duke,0.44
dull,0.12
dullard,0.48
dumb,0.33
dumbbell,0.469
dumfounder,0.481
dummy,0.144
dumpling,0.321
dumpster,0.418
dun,0.431
dunce,0.327
dune,0.173
dunk,0.333
duplex,0.452
duplicate,0.49
durability,0.398
durable,0.294
duration,0.37
dusk,0.276
dust,0.246
duster,0.265
dustpan,0.466
dusty,0.294
dutiful,0.245
dwarf,0.34
dwarfed,0.265
dweeb,0.446
dwell,0.245
dweller,0.304
dwelling,0.33
dye,0.314
dyke,0.396
dysfunction,0.41
dyspepsia,0.47
ear,0.216
earful,0.462
earl,0.461
earlier,0.352
early,0.373
earnest,0.38
earnestly,0.49
earnestness,0.373
earpiece,0.286
earrings,0.346
earshot,0.332
earth,0.225
earthenware,0.21
earthling,0.412
earthly,0.318
earthy,0.413
ease,0.385
easel,0.34
easement,0.345
easily,0.279
east,0.25
eastbound,0.408
eastern,0.42
easy,0.194
easygoing,0.276
eater,0.337
eating,0.491
eavesdropping,0.38
ebb,0.451
ebony,0.317
ecclesiastical,0.27
echelon,0.404
echinacea,0.418
echo,0.373
eclipse,0.469
ecological,0.29
economic,0.408
economics,0.481
economy,0.434
ecosystem,0.259
ecumenical,0.45
eddy,0.394
edge,0.47
edging,0.394
edible,0.425
edification,0.481
edifice,0.403
edit,0.41
editing,0.404
edition,0.455
editor,0.431
editorial,0.33
educate,0.38
educated,0.297
education,0.275
educational,0.457
educator,0.317
eeek,0.49
efficacy,0.49
effigy,0.44
effortless,0.09
egg,0.241
egghead,0.492
eggnog,0.36
eggplant,0.152
eggshell,0.269
egress,0.429
eight,0.199
eighteen,0.34
eighth,0.226
eighty,0.3
elaborate,0.367
elan,0.367
elapse,0.44
elapsed,0.451
elasticity,0.452
elbow,0.133
eld,0.292
elder,0.153
elderly,0.212
elders,0.26
eldest,0.471
elective,0.38
electorate,0.38
electron,0.455
electronic,0.49
elegance,0.396
element,0.259
elemental,0.306
elementary,0.286
elements,0.312
eleven,0.25
eleventh,0.329
elf,0.457
eligible,0.4
elk,0.337
ell,0.418
ellipse,0.41
ellipsis,0.358
ellipsoid,0.44
elliptic,0.431
elliptical,0.385
elm,0.345
elongate,0.385
eloquence,0.49
email,0.23
emanate,0.464
embankment,0.438
embassy,0.333
embellishment,0.449
embers,0.481
emblem,0.33
emblematic,0.459
embossed,0.481
embrace,0.49
embroidered,0.279
embroidery,0.358
embryo,0.469
embryonic,0.453
emerald,0.363
emeritus,0.402
emir,0.396
emissary,0.462
emission,0.453
emit,0.445
emo,0.314
empathy,0.349
empiricism,0.46
employ,0.481
employee,0.361
emptiness,0.173
emption,0.406
empty,0.183
emu,0.358
emulate,0.34
emulsion,0.431
enable,0.491
enablement,0.451
enamel,0.28
encircling,0.368
enclave,0.333
enclose,0.477
enclosure,0.375
encomium,0.451
encompass,0.298
encore,0.423
encrypt,0.387
encryption,0.415
encyclopedia,0.32
end,0.349
end table,0.48
endearing,0.434
endemic,0.48
ending,0.365
endless,0.462
endorse,0.392
endorsement,0.36
endow,0.398
endpapers,0.4
endpoint,0.41
enduring,0.459
engineering,0.471
engrave,0.442
engraved,0.375
engraver,0.417
engraving,0.43
engrossed,0.471
enhancement,0.49
enjoin,0.454
enjoyable,0.481
enlarged,0.49
enlist,0.37
ennui,0.461
enrollment,0.391
ensemble,0.418
ensign,0.27
ensue,0.363
ensure,0.406
enter,0.47
enterprise,0.392
entire,0.462
entirety,0.46
entitle,0.333
entity,0.402
entomology,0.396
entrance,0.393
entree,0.477
entrust,0.31
entry,0.353
enumerate,0.39
enumeration,0.327
envelope,0.275
environ,0.221
environment,0.194
environmental,0.313
environs,0.288
envision,0.449
envoy,0.375
enzyme,0.277
ephemeral,0.312
ephemeris,0.38
epidermis,0.49
epidural,0.452
epilogue,0.353
episcopal,0.314
episode,0.367
epistle,0.417
epitaph,0.323
epithet,0.394
epoch,0.343
equal,0.178
equality,0.305
equalization,0.422
equalize,0.281
equalizer,0.451
equally,0.264
equate,0.382
equation,0.384
equator,0.302
equatorial,0.271
equidistant,0.406
equilibration,0.317
equilibrium,0.235
equipment,0.495
equitable,0.286
equity,0.304
equivalence,0.25
equivalent,0.347
equivocal,0.482
era,0.407
erase,0.26
eraser,0.209
erasure,0.36
ere,0.312
ergo,0.4
erst,0.422
erudite,0.434
eschew,0.438
escort,0.48
esophagus,0.454
especial,0.419
esprit,0.431
essay,0.411
essayist,0.46
essence,0.369
essential,0.405
essentially,0.373
established,0.394
establishment,0.398
estate,0.385
esteem,0.38
esteemed,0.418
esthetic,0.36
estimable,0.408
estimate,0.469
estimation,0.48
estoppel,0.459
estranged,0.382
estuary,0.278
etch,0.367
etching,0.491
eternal,0.409
ethanol,0.41
ether,0.306
ethereal,0.419
ethic,0.26
ethical,0.324
ethics,0.296
ethnic,0.373
ethnography,0.373
etiology,0.385
etiquette,0.35
etymology,0.37
eucalyptus,0.308
euchre,0.459
eulogium,0.482
eulogy,0.443
euphemism,0.453
euro,0.441
evade,0.49
evangelical,0.389
evangelist,0.464
evangelistic,0.375
evaporate,0.469
evaporation,0.346
eve,0.378
evening,0.185
evens,0.43
eventual,0.459
evergreen,0.471
everlasting,0.413
evermore,0.45
everyday,0.392
everyman,0.333
evident,0.444
evoke,0.341
ewe,0.216
exact,0.354
example,0.337
excel,0.363
excepting,0.413
excerpt,0.367
excision,0.48
exec,0.352
executive,0.449
exegesis,0.472
exemplary,0.343
exempt,0.455
exhale,0.49
exhausted,0.423
exist,0.421
existent,0.49
existing,0.344
exit,0.353
expanded,0.406
expect,0.327
expected,0.412
expecting,0.45
expediency,0.443
expedient,0.461
expendable,0.49
expense,0.451
expired,0.394
expiry,0.434
explanatory,0.433
explication,0.445
extant,0.39
extended,0.304
extent,0.451
exterior,0.4
external,0.341
extinct,0.491
extinguisher,0.379
extract,0.402
extracurricular,0.471
extrinsic,0.479
eye,0.265
eyeball,0.422
eyebrow,0.198
eyeglass,0.236
eyeglasses,0.269
eyelash,0.25
eyelet,0.298
eyeliner,0.349
eyepiece,0.347
eyes,0.279
eyesight,0.226
fab,0.38
fable,0.387
fabric,0.19
fabricate,0.491
fabricated,0.427
facade,0.333
face,0.173
faceless,0.406
facet,0.324
facial,0.429
facile,0.264
facilitate,0.333
facing,0.406
fact,0.333
faction,0.43
factor,0.365
facts,0.471
factual,0.44
faculties,0.431
faculty,0.412
fade,0.333
faded,0.275
faeces,0.476
failing,0.49
fain,0.417
faint,0.429
fairly,0.406
fairness,0.317
fairy,0.408
faith,0.22
faithful,0.333
faithfulness,0.426
falafel,0.402
fallback,0.358
fallopian,0.39
fallout,0.356
fallow,0.368
false,0.404
falsely,0.48
familiar,0.33
familiarity,0.346
familiarize,0.365
family,0.383
familytime,0.42
fan,0.429
fang,0.491
fanning,0.33
faraway,0.356
farcical,0.481
fare,0.425
farm,0.327
farmer,0.432
farmhouse,0.33
farming,0.414
farmland,0.363
faro,0.349
fart,0.439
fascia,0.366
fastener,0.377
fastening,0.473
fasting,0.37
fat,0.353
fate,0.479
fated,0.472
father,0.333
fatherland,0.469
fatherly,0.363
fathom,0.41
fatigue,0.378
fatigued,0.433
fatso,0.394
fatty,0.361
faucet,0.278
faun,0.303
fauna,0.346
faux,0.49
favor,0.308
favorable,0.38
fawn,0.36
fax,0.368
fearful,0.482
feasibility,0.49
feasible,0.388
feather,0.208
feathered,0.288
feature,0.314
features,0.433
feces,0.407
fed,0.37
federal,0.459
federation,0.354
fee,0.386
feeble,0.28
feed,0.429
feeder,0.452
feelgood,0.441
feeling,0.329
feelingdown,0.457
feelinggood,0.449
feet,0.24
feign,0.394
fell,0.462
fellow,0.298
fellowship,0.429
felt,0.417
femininity,0.479
femoral,0.324
femur,0.289
fen,0.276
fence,0.198
fenced,0.43
fender,0.459
fennel,0.277
fern,0.24
ferret,0.391
ferryboat,0.452
fertile,0.408
fertilize,0.443
fertilizer,0.463
fess,0.42
fetal,0.308
fetch,0.363
feudal,0.37
feudalism,0.465
fiat,0.418
fiber,0.284
fiberglass,0.451
fibrosis,0.469
fibrous,0.441
fickle,0.481
fictional,0.49
fictitious,0.444
fiddle,0.449
fiduciary,0.4
field,0.38
fielder,0.378
fifteen,0.29
fifty,0.368
fig,0.39
figment,0.316
figurative,0.45
figure,0.328
figurine,0.283
filament,0.452
filamentous,0.48
file,0.316
filet,0.392
filigree,0.408
filing,0.42
filings,0.412
fill,0.449
filler,0.347
fillet,0.415
filling,0.382
film,0.491
filter,0.296
fin,0.34
finale,0.33
finality,0.368
finalized,0.21
finally,0.433
finance,0.431
finch,0.444
finding,0.469
fine,0.24
finery,0.479
finesse,0.387
finger,0.264
fingernail,0.415
