term,dominance
complexity,0.595
compliance,0.75
compliant,0.519
complicity,0.67
compliment,0.651
comply,0.638
complying,0.59
component,0.525
compose,0.694
composed,0.682
composer,0.691
composite,0.62
composition,0.652
composure,0.717
compound,0.735
comprehend,0.689
comprehension,0.688
comprehensive,0.644
compressible,0.585
compression,0.579
compressor,0.63
comprise,0.669
compromise,0.805
comptroller,0.866
compulsion,0.604
compulsive,0.573
compulsory,0.791
computable,0.545
computation,0.697
compute,0.564
computer,0.639
computerized,0.657
computing,0.695
comrade,0.804
concatenation,0.539
conceivable,0.613
conceive,0.7
concentrate,0.743
concentration,0.722
concentric,0.635
concept,0.632
conception,0.614
concert,0.718
concerto,0.679
concession,0.615
concessional,0.657
conciliation,0.726
concise,0.62
conclave,0.611
conclude,0.679
concluding,0.603
conclusion,0.659
conclusive,0.745
concomitant,0.727
concord,0.586
concordance,0.608
concourse,0.528
concrete,0.547
concurrence,0.613
concurrent,0.741
concurring,0.681
condemn,0.625
condensation,0.538
condensed,0.623
condescending,0.593
condescension,0.565
condition,0.519
conditional,0.556
conditionally,0.617
conditioned,0.616
conditioner,0.538
conditioning,0.617
conditions,0.593
condo,0.607
condom,0.5
condone,0.619
condor,0.519
conducive,0.679
conduct,0.75
conduction,0.717
conductivity,0.642
conductor,0.621
confederacy,0.736
confederate,0.792
confederation,0.83
confer,0.583
conference,0.606
confessional,0.629
confessions,0.658
confidant,0.631
confide,0.595
confidence,0.943
confident,0.723
confidential,0.761
confidentiality,0.718
confidentially,0.558
configuration,0.591
confine,0.538
confinement,0.52
confines,0.542
confirm,0.806
confirmation,0.692
confirmatory,0.683
confirmed,0.764
confiscation,0.586
conflagration,0.594
conflicting,0.553
confluence,0.565
conformation,0.711
conformity,0.579
confront,0.746
confrontation,0.658
congenial,0.62
conglomerate,0.838
conglomeration,0.67
congrats,0.775
congratulate,0.784
congratulation,0.717
congratulations,0.719
congratulatory,0.689
congregate,0.733
congregation,0.7
congress,0.857
congressional,0.848
congressman,0.877
congruence,0.577
conjecture,0.534
conjugal,0.688
conjugation,0.582
conjunction,0.509
conjunctive,0.639
conjure,0.645
conjuring,0.694
connect,0.536
connected,0.612
connection,0.655
connective,0.764
connoisseur,0.769
conquer,0.971
conquering,0.936
conqueror,0.93
conquest,0.833
conscience,0.721
conscientious,0.688
conscious,0.705
consciousness,0.755
conscription,0.642
consecrated,0.8
consecration,0.804
consecutive,0.643
consensual,0.655
consensus,0.625
consent,0.62
consenting,0.693
consequence,0.593
consequent,0.625
conservation,0.606
conservatism,0.633
conservative,0.788
conservatory,0.729
conserve,0.573
consider,0.579
considerable,0.683
considerate,0.633
consideration,0.687
consignee,0.602
consignment,0.5
consist,0.58
consistency,0.887
consistent,0.726
consolidate,0.87
consolidated,0.784
consolidation,0.776
consort,0.63
conspicuous,0.596
conspiracy,0.652
conspirator,0.707
conspire,0.52
constable,0.764
constancy,0.763
constant,0.686
constantly,0.7
constellation,0.775
constituency,0.696
constituent,0.827
constituents,0.833
constitute,0.906
constitution,0.889
constitutional,0.827
constitutionality,0.853
constrain,0.5
construct,0.792
construction,0.759
constructive,0.812
construe,0.553
consul,0.688
consulate,0.694
consultant,0.808
consultation,0.625
consume,0.509
consumer,0.677
consuming,0.536
consummate,0.558
consummation,0.661
consumption,0.538
contact,0.526
contagion,0.535
contain,0.658
container,0.561
containment,0.618
contemplate,0.642
contemplation,0.627
contemplative,0.739
contemporaneous,0.591
contemporary,0.569
contend,0.731
contender,0.681
contending,0.716
content,0.559
contented,0.746
contention,0.738
contentious,0.637
contentment,0.782
contents,0.55
contest,0.717
contestant,0.602
context,0.553
contiguous,0.5
continent,0.833
continental,0.755
contingency,0.67
contingent,0.659
continual,0.685
continually,0.698
continuance,0.652
continuation,0.566
continue,0.612
continued,0.5
continuing,0.52
continuity,0.684
continuous,0.58
continuously,0.702
contraband,0.67
contraception,0.525
contract,0.636
contractile,0.569
contracting,0.769
contraction,0.603
contractor,0.727
contrast,0.52
contravention,0.593
contribute,0.795
contribution,0.76
contributor,0.76
control,0.808
controller,0.868
controlling,0.885
controversial,0.538
controversy,0.6
contusion,0.509
convection,0.526
convene,0.636
convenience,0.613
conveniences,0.693
convenient,0.574
convent,0.594
convention,0.704
conventional,0.634
converge,0.539
convergence,0.625
convergent,0.696
conversant,0.542
conversation,0.609
conversational,0.596
conversationalist,0.667
converse,0.598
conversion,0.736
convert,0.704
converted,0.686
convertible,0.717
convey,0.708
conveyancing,0.663
conviction,0.826
convince,0.763
convinced,0.63
convincing,0.9
convocation,0.663
convolution,0.527
convoy,0.639
coo,0.5
cool,0.781
coolness,0.548
coop,0.65
cooperate,0.582
cooperating,0.693
cooperation,0.686
cooperative,0.67
coordinate,0.694
coordination,0.789
coordinator,0.85
cop,0.836
cope,0.709
copilot,0.573
coping,0.613
copious,0.527
copper,0.5
copter,0.569
copyright,0.663
coral snake,0.607
cordless,0.528
core,0.54
cornerstone,0.596
corona,0.745
coronary,0.509
coronation,0.836
coroner,0.526
corporal,0.596
corporate,0.745
corporation,0.873
corpsman,0.651
correct,0.723
correction,0.558
correctional,0.602
corrective,0.613
correctness,0.649
correlation,0.571
correlative,0.571
correspond,0.545
correspondent,0.712
corresponding,0.618
corridor,0.592
corroborate,0.616
corroboration,0.733
corrosive,0.57
corrupt,0.5
corruption,0.549
cortex,0.529
cortical,0.536
corvette,0.598
cosmic,0.692
cosmology,0.637
cosmopolitan,0.76
cosmos,0.664
costly,0.642
cosy,0.518
cougar,0.538
council,0.635
councilman,0.793
counsel,0.73
counseling,0.704
counsellor,0.74
counselor,0.706
countenance,0.69
counter,0.75
counteract,0.688
counterattack,0.764
counterbalance,0.627
counterclaim,0.651
counterpart,0.577
counterpoint,0.538
countess,0.67
countless,0.534
country,0.693
countryman,0.789
counts,0.5
county,0.545
coup,0.607
couple,0.607
coupled,0.65
coupling,0.555
courage,0.849
courageous,0.879
courses,0.534
coursing,0.546
court,0.827
courteous,0.529
courthouse,0.818
courtroom,0.887
courts,0.816
courtship,0.654
coven,0.591
covenant,0.667
coverage,0.629
covered,0.644
covering,0.583
covert,0.508
covet,0.524
coveted,0.625
cowboy,0.695
cowgirl,0.554
cowhand,0.596
coworker,0.625
cozy,0.545
craft,0.539
craftsman,0.583
craftsmanship,0.571
crafty,0.783
cram,0.598
crane,0.589
cranial,0.583
cranium,0.725
crater,0.529
crave,0.731
craving,0.636
create,0.789
creation,0.868
creative,0.788
creativity,0.815
creator,0.856
creature,0.62
credence,0.737
credential,0.597
credentials,0.675
credibility,0.809
credible,0.75
credit,0.648
credit card,0.64
creditable,0.742
credited,0.691
crediting,0.741
creditor,0.689
creed,0.544
creole,0.523
crescendo,0.594
crew,0.735
crewman,0.548
crime,0.63
criminal,0.529
criminality,0.58
crisp,0.508
crispy,0.509
criterion,0.736
critic,0.686
critical,0.545
criticism,0.505
critique,0.537
crocodile,0.61
crook,0.55
crop,0.5
cross,0.569
cross country,0.529
crossbow,0.56
crossed,0.508
crossfire,0.722
crossover,0.5
crowd,0.731
crowded,0.585
crowds,0.806
crown,0.737
crowning,0.831
crucial,0.777
cruciate,0.585
crucifix,0.51
crucifixion,0.541
crucify,0.573
cruelty,0.536
cruise,0.683
cruise ship,0.5
cruiser,0.608
cruising,0.56
crunchy,0.539
crusade,0.709
crusader,0.548
crush,0.582
crusher,0.598
crux,0.519
cryptography,0.65
crystal,0.508
crystalline,0.534
crystallization,0.565
cuddled,0.567
cuddles,0.5
culinary,0.519
culminate,0.602
culmination,0.695
cult,0.648
cultivate,0.598
cultivated,0.564
cultural,0.623
culture,0.675
cultured,0.625
cunning,0.683
curable,0.574
curate,0.526
curative,0.613
curator,0.688
cure,0.623
curfew,0.623
currency,0.592
current,0.612
curriculum,0.62
curtsy,0.598
cusp,0.7
custodial,0.718
custodian,0.528
custody,0.675
custom,0.688
customary,0.561
customer,0.673
customized,0.59
cute,0.579
cutlass,0.528
cutoff,0.518
cutter,0.583
cutthroat,0.663
cutting,0.536
cyanide,0.545
cyberspace,0.611
cycle,0.533
cyclical,0.554
cyclist,0.576
cyclone,0.673
czar,0.643
dabbling,0.676
dad,0.786
daddy,0.736
daemon,0.5
dagger,0.613
dame,0.5
dance,0.551
dancer,0.545
dandy,0.63
danger,0.673
dangerous,0.658
dangerously,0.564
dapper,0.698
dare,0.684
daredevil,0.653
daring,0.711
darling,0.608
dart,0.5
dashboard,0.595
dashing,0.799
database,0.644
datenight,0.518
dawn,0.519
daylight,0.545
dazzle,0.683
dazzling,0.767
deacon,0.736
deadly,0.554
deal,0.543
dealer,0.683
dealership,0.629
dealing,0.598
dean,0.723
dear,0.629
dearest,0.508
deathly,0.682
debate,0.683
debauchery,0.5
debrief,0.549
debut,0.629
decade,0.665
decanter,0.51
decathlon,0.62
decency,0.634
decent,0.653
decide,0.855
decidedly,0.843
decipher,0.652
decision,0.839
decisive,0.935
declaration,0.714
declaratory,0.673
declare,0.668
decode,0.64
decoder,0.686
decompress,0.509
decontamination,0.573
decor,0.573
decoration,0.526
decree,0.746
decry,0.548
decryption,0.6
dedicate,0.588
dedication,0.682
deduction,0.527
deed,0.592
deem,0.69
deep,0.657
deepen,0.776
default,0.712
defend,0.67
defended,0.582
defender,0.75
defending,0.812
defense,0.802
defensible,0.593
defensive,0.678
defiance,0.76
defiant,0.769
define,0.632
defined,0.646
definite,0.741
definition,0.579
definitive,0.787
defray,0.653
deft,0.849
defy,0.657
degree,0.663
delectable,0.718
delegate,0.658
delegation,0.609
deliberate,0.682
deliberation,0.596
deliberative,0.573
delicious,0.589
delight,0.647
delighted,0.685
delightful,0.644
delinquency,0.508
delinquent,0.5
delirious,0.538
deliver,0.582
deliverance,0.658
delivery,0.786
delta,0.509
deluge,0.612
deluxe,0.755
delve,0.684
demand,0.5
demanding,0.828
demeanor,0.657
democracy,0.84
democrat,0.755
democratic,0.798
demographic,0.594
demolish,0.7
demolition,0.541
demon,0.509
demonic,0.6
demonstrable,0.749
demonstrate,0.839
demonstrated,0.649
demonstrating,0.693
demonstration,0.679
demonstrative,0.736
demonstrator,0.733
denominational,0.679
denominator,0.613
denote,0.534
dense,0.536
density,0.561
dentist,0.642
dentistry,0.569
dentists,0.582
denunciation,0.561
department,0.642
dependable,0.741
depict,0.723
depicting,0.602
deploy,0.585
deployment,0.612
deport,0.546
depositary,0.5
depress,0.528
deprived,0.536
depth,0.759
deputy,0.787
derivation,0.644
derivative,0.508
dermatologist,0.528
dermatology,0.556
descendant,0.625
descendent,0.565
describe,0.555
description,0.596
descriptive,0.57
desecrate,0.509
desecration,0.564
deserve,0.613
deserved,0.689
deserving,0.858
design,0.632
designate,0.683
designated,0.616
designation,0.675
designed,0.595
designer,0.67
designing,0.552
desirability,0.675
desirable,0.75
desire,0.647
desiring,0.632
desirous,0.562
despatch,0.613
despotic,0.592
despotism,0.62
destination,0.637
destined,0.617
destiny,0.611
destroy,0.635
destroyer,0.543
destroying,0.66
destruct,0.525
destruction,0.613
destructive,0.713
detail,0.528
detect,0.565
detectable,0.649
detection,0.538
detective,0.901
detector,0.724
detention,0.562
deter,0.567
determinable,0.723
determinate,0.772
determination,0.795
determine,0.776
determined,0.673
detonate,0.696
detonation,0.741
detonator,0.75
deutschmark,0.509
devastate,0.509
develop,0.821
developer,0.864
developing,0.714
development,0.796
deviating,0.536
device,0.627
devil,0.611
devise,0.67
devolve,0.596
devote,0.642
devoted,0.698
devotee,0.577
devotion,0.673
devotional,0.655
devour,0.574
dexterity,0.864
diagnose,0.714
diagnosis,0.819
diagnostic,0.635
diagnostics,0.75
dial,0.596
dialect,0.526
dialectic,0.638
dialogue,0.625
diamond,0.769
diamonds,0.917
diaphragm,0.517
dicey,0.727
dichotomous,0.538
dictate,0.668
dictation,0.627
dictator,0.862
dictatorial,0.84
dictatorship,0.784
diction,0.679
dictionary,0.598
dictum,0.528
didactic,0.673
differential,0.535
differentiation,0.535
differently,0.506
difficult,0.508
diffusion,0.517
dig,0.637
digital,0.529
dignified,0.635
dignify,0.735
dignity,0.873
digs,0.635
dilation,0.578
diligence,0.7
diligent,0.759
dimension,0.627
dimensional,0.596
diner,0.538
dinosaur,0.596
diocesan,0.518
diocese,0.575
diploma,0.731
diplomacy,0.774
diplomat,0.868
diplomatic,0.918
direct,0.65
directed,0.541
direction,0.684
directive,0.918
directly,0.702
director,0.912
directory,0.538
disarm,0.613
discern,0.518
discerning,0.78
discernment,0.694
discharge,0.578
disciplinary,0.796
discipline,0.806
disciplined,0.75
disclaimer,0.542
disclose,0.545
disclosed,0.546
disclosure,0.71
disco,0.575
discourse,0.803
discover,0.673
discovery,0.814
discreet,0.532
discretion,0.685
discuss,0.509
discussion,0.536
disinfect,0.648
dismiss,0.509
dispatch,0.555
dispatcher,0.652
dispensary,0.606
dispense,0.518
displacency,0.642
dispose,0.559
disposed,0.625
disposition,0.734
disprove,0.613
dispute,0.585
disruptive,0.575
dissect,0.595
disseminate,0.75
dissemination,0.583
dissertation,0.575
distillation,0.575
distilled,0.5
distinct,0.509
distinction,0.75
distinctive,0.604
distinguish,0.6
distinguishable,0.727
distinguished,0.759
distinguishing,0.64
distribute,0.709
distribution,0.788
distributor,0.718
district,0.66
diva,0.596
dive,0.5
diver,0.564
diverge,0.52
divergence,0.687
divergent,0.587
diverging,0.573
divers,0.602
diverse,0.604
diversified,0.549
diversion,0.714
diversity,0.711
diverting,0.537
dividend,0.566
divination,0.545
divine,0.885
divinity,0.774
do,0.536
doable,0.675
docket,0.607
docking,0.587
doctor,0.861
doctorate,0.841
doctrinal,0.673
doctrine,0.769
document,0.667
documentary,0.596
documentation,0.667
documents,0.587
dodge,0.509
doer,0.728
dogged,0.594
dogma,0.719
dogmatic,0.654
doings,0.705
dollar,0.694
domain,0.828
dome,0.509
domestic,0.5
domicile,0.529
domiciled,0.516
dominance,0.839
dominant,0.893
dominate,0.953
dominating,0.902
domination,0.959
dominatrix,0.709
dominion,0.89
don,0.702
donate,0.577
donation,0.602
donor,0.653
doomsday,0.67
dossier,0.544
double,0.569
doubled,0.56
doublet,0.5
doubtless,0.689
download,0.503
downright,0.679
dowry,0.544
drafty,0.518
dragon,0.712
drastic,0.657
dreamland,0.566
dreams,0.53
dreamt,0.518
dreamy,0.5
dressy,0.696
drill,0.573
drive,0.713
driver,0.637
driveway,0.689
drone,0.596
drones,0.588
drove,0.623
drug dealing,0.5
drugstore,0.518
drummer,0.564
dualism,0.536
duality,0.503
duchess,0.711
dude,0.615
duel,0.589
duet,0.527
duke,0.669
duplication,0.577
duplicity,0.578
durability,0.813
durable,0.688
duration,0.536
duress,0.612
dusk,0.519
dutiful,0.585
duty,0.651
dwell,0.611
dweller,0.5
dyke,0.566
dynamic,0.836
dynamical,0.827
dynamics,0.774
dynamite,0.783
dynamo,0.593
dynasty,0.936
eagle,0.679
earl,0.794
earn,0.817
earnest,0.67
earnestly,0.717
earnestness,0.615
earnings,0.875
earring,0.5
earrings,0.517
earth,0.614
earthling,0.57
earthly,0.518
earthquake,0.812
easel,0.527
easygoing,0.538
eater,0.51
eating,0.615
eatingdisorders,0.508
ebullient,0.746
eccentric,0.721
eccentricity,0.745
ecclesiastical,0.66
eclectic,0.508
eclipse,0.616
ecliptic,0.556
ecological,0.607
economic,0.639
economical,0.673
economics,0.632
economy,0.771
ecosystem,0.633
ecstasy,0.655
ecstatic,0.742
ecumenical,0.547
edict,0.56
edification,0.697
edifice,0.61
edit,0.544
edition,0.564
editor,0.673
editorial,0.57
educate,0.728
educated,0.625
education,0.84
educational,0.764
educator,0.845
effect,0.608
effective,0.891
effectiveness,0.812
effectual,0.82
effectually,0.594
effectuate,0.679
efficacious,0.845
efficacy,0.906
efficiency,0.892
efficient,0.83
effort,0.858
ego,0.593
egomaniac,0.596
ejaculate,0.604
ejaculation,0.547
eject,0.559
ejection,0.554
elaborate,0.68
elaboration,0.598
elan,0.5
elasticity,0.582
elated,0.725
elation,0.623
eldest,0.741
elect,0.661
election,0.651
elective,0.623
elector,0.766
electoral,0.602
electorate,0.696
electric,0.512
electric slide,0.536
electrical,0.688
electrician,0.62
electricity,0.733
electrify,0.737
electrocute,0.555
electrocution,0.692
electromagnetic,0.683
electron,0.56
electronic,0.704
electronics,0.574
elegance,0.824
elegant,0.685
elemental,0.711
elementary,0.686
elephant,0.615
elevate,0.804
elevated,0.62
elevation,0.711
elevator,0.676
elicit,0.658
eligible,0.518
elite,0.737
elitist,0.656
elixir,0.604
elliptic,0.528
elongate,0.54
elongation,0.5
elope,0.528
eloquence,0.804
eloquent,0.741
elucidate,0.518
elucidation,0.586
emanate,0.554
emancipation,0.763
embark,0.619
embassy,0.758
embed,0.67
embellish,0.769
embers,0.508
emblem,0.754
emblematic,0.798
embodiment,0.663
embossed,0.5
embryonic,0.598
emcee,0.691
emerald,0.726
emerge,0.731
emergence,0.676
emergency,0.571
emeritus,0.735
emigrate,0.508
eminence,0.837
eminent,0.83
eminently,0.773
emir,0.621
emissary,0.636
emission,0.591
emit,0.51
emotion,0.696
emotional,0.526
emotive,0.525
empathic,0.558
empathize,0.66
empathy,0.545
emperor,0.962
emphasis,0.816
emphasize,0.769
emphatic,0.732
empire,0.944
empirical,0.574
empiricism,0.547
employ,0.702
employer,0.767
employment,0.611
emporium,0.724
empower,0.891
empress,0.855
emulate,0.549
enable,0.782
enablement,0.75
enact,0.598
enactment,0.769
encampment,0.605
enchant,0.643
enchanted,0.687
enchanting,0.708
enchantment,0.647
encircle,0.519
encircling,0.557
enclave,0.58
encode,0.734
encomiastic,0.67
encomium,0.519
encompass,0.661
encore,0.5
encounter,0.689
encourage,0.704
encouraged,0.657
encouragement,0.759
encouraging,0.755
encroach,0.702
encroachment,0.62
encrypt,0.5
encyclopedia,0.645
endangerment,0.519
endearing,0.604
endeavor,0.765
ended,0.5
endgame,0.526
endorsement,0.611
endow,0.609
endowed,0.769
endowment,0.647
endurance,0.76
endure,0.574
enduring,0.768
enemy,0.591
energetic,0.902
energize,0.875
energy,0.868
enforce,0.836
enforcement,0.736
enforcer,0.639
engage,0.713
engaged,0.849
engagement,0.807
engaging,0.862
engender,0.688
engine,0.676
engineer,0.875
engineering,0.836
engrave,0.517
engraver,0.5
engrossing,0.75
engulf,0.5
enhance,0.814
enhancement,0.741
enigma,0.5
enigmatic,0.679
enjoin,0.732
enjoy,0.75
enjoyable,0.605
enjoying,0.759
enjoyment,0.716
enlarge,0.688
enlarged,0.518
enlargement,0.616
enlighten,0.667
enlightened,0.7
enlightening,0.727
enlightenment,0.619
enliven,0.702
enormity,0.848
enormous,0.886
enormously,0.872
enraged,0.636
enrich,0.705
enroll,0.611
enrollment,0.698
ensemble,0.586
ensign,0.545
ensure,0.759
entail,0.645
enter,0.5
enterprise,0.754
enterprising,0.875
entertain,0.598
entertained,0.712
entertainer,0.759
entertaining,0.66
entertainment,0.569
enthralled,0.615
enthusiasm,0.798
enthusiast,0.875
enthusiastic,0.848
entice,0.518
entire,0.698
entirety,0.804
entitle,0.827
entity,0.67
entomology,0.545
entrance,0.526
entree,0.624
entrepreneur,0.92
entrust,0.63
entry,0.602
enumeration,0.534
environment,0.528
environmental,0.664
envoy,0.586
ephemeris,0.528
epic,0.83
epidemic,0.611
epidural,0.525
epiphany,0.526
episcopal,0.75
episode,0.509
epistle,0.535
epithet,0.524
epitome,0.667
epoch,0.797
equality,0.716
equalize,0.574
equalizer,0.586
equate,0.624
equation,0.608
equatorial,0.593
equidistant,0.509
equilibration,0.593
equilibrium,0.62
equip,0.713
equipment,0.7
equitable,0.75
equity,0.614
equivalence,0.582
equivalent,0.5
eradicate,0.686
eradication,0.685
erect,0.627
erectile,0.625
erection,0.695
erode,0.58
erotic,0.683
erotica,0.579
erudite,0.774
erupt,0.818
eruption,0.733
escalate,0.728
escalating,0.518
escalation,0.582
escalator,0.518
escaped,0.518
escort,0.608
escrow,0.613
esoteric,0.545
especial,0.794
espionage,0.62
espouse,0.598
espresso,0.508
esquire,0.518
essay,0.53
essence,0.575
essential,0.759
essentially,0.802
establish,0.688
established,0.694
establishment,0.631
estate,0.647
esteem,0.679
esteemed,0.531
esthetic,0.558
estimable,0.63
estimate,0.517
estimation,0.589
etch,0.598
etching,0.575
eternal,0.843
eternity,0.911
ethanol,0.534
ethereal,0.518
ethic,0.791
ethical,0.634
ethics,0.731
ethnic,0.555
ethnography,0.549
etiology,0.639
etymology,0.529
eugenics,0.518
eulogistic,0.694
eulogium,0.655
eulogize,0.679
eulogy,0.667
euphoria,0.648
euphoric,0.588
euro,0.521
evacuation,0.582
evaluate,0.649
evaluation,0.764
evangelical,0.602
evangelist,0.702
evangelistic,0.612
event,0.664
eventful,0.51
eventuality,0.527
evergreen,0.546
everlasting,0.809
everyman,0.535
evidence,0.778
evident,0.664
evidentiary,0.717
evil,0.545
evoke,0.5
evolution,0.854
evolutionary,0.825
evolve,0.896
exacerbate,0.58
exact,0.685
exacting,0.767
exaggerate,0.529
exaggerated,0.732
exaggeration,0.582
exalt,0.745
exaltation,0.673
exalted,0.696
exam,0.577
examination,0.679
examine,0.786
examiner,0.812
example,0.51
excavate,0.635
excavation,0.527
excavator,0.649
exceed,0.586
exceeding,0.668
excellence,0.907
excellent,0.87
excelsior,0.611
excepting,0.526
exception,0.544
exceptional,0.933
excerpt,0.543
excess,0.712
excessive,0.601
excessively,0.716
excise,0.577
excision,0.519
excitability,0.724
excitable,0.629
excitation,0.75
excite,0.668
excited,0.709
excitement,0.731
exciting,0.789
exclaim,0.639
exclamation,0.598
exclude,0.53
exclusive,0.653
excursion,0.627
exec,0.769
execute,0.769
execution,0.713
executioner,0.676
executive,0.894
executor,0.759
exemplar,0.625
exemplary,0.729
exemplify,0.783
exempt,0.664
exemption,0.627
exercise,0.625
exert,0.806
exertion,0.717
exhaustive,0.604
exhibit,0.708
exhibition,0.531
exhilarated,0.759
exhilarating,0.81
exhilaration,0.783
exhort,0.745
exhortation,0.58
exigent,0.792
exist,0.788
existence,0.771
existent,0.635
existential,0.638
existing,0.75
exodus,0.567
exonerate,0.538
exorbitant,0.825
exorcism,0.557
exorcist,0.716
exotic,0.727
expand,0.686
expanded,0.689
expanse,0.689
expansion,0.787
expansive,0.778
expectance,0.66
expectancy,0.558
expectation,0.707
expected,0.545
expediency,0.703
expedite,0.798
expedition,0.62
expeditious,0.773
expenditure,0.603
expensive,0.53
experience,0.905
experienced,0.914
experiences,0.795
experiment,0.675
experimentation,0.767
experimenter,0.7
expert,0.911
expertise,0.925
expire,0.702
explain,0.736
explanation,0.825
explanatory,0.688
expletive,0.536
explication,0.602
explicit,0.734
explode,0.773
exploit,0.66
exploitation,0.718
exploration,0.773
exploratory,0.698
explore,0.727
explorer,0.714
explosion,0.767
explosions,0.594
explosive,0.663
expo,0.5
exponent,0.845
exponential,0.763
export,0.755
exportation,0.673
expose,0.537
exposed,0.509
exposition,0.655
expository,0.636
exposure,0.63
expound,0.74
express,0.691
expression,0.721
expressive,0.685
expressway,0.587
expropriation,0.788
expulsion,0.529
exquisite,0.604
exquisitely,0.723
extant,0.523
extend,0.689
extendable,0.722
extended,0.649
extension,0.529
extensive,0.76
extent,0.602
exterior,0.627
exterminate,0.736
extermination,0.616
exterminator,0.887
external,0.509
externally,0.568
extinction,0.611
extinguisher,0.543
extort,0.57
extortion,0.63
extra,0.745
extract,0.519
extracting,0.689
extraction,0.526
extractor,0.519
extracurricular,0.743
extradition,0.554
extrajudicial,0.667
extramural,0.537
extraordinaire,0.898
extraordinary,0.86
extraterrestrial,0.792
extravagance,0.7
extravagant,0.812
extravaganza,0.906
extreme,0.721
extreme anticipation,0.704
extreme surprise,0.676
extreme trust,0.922
extremely,0.886
extremely positive,0.839
extremity,0.583
extricate,0.543
extrinsic,0.636
extrusion,0.545
exuberance,0.787
eyeful,0.676
eyewitness,0.698
fabled,0.545
fabricate,0.779
fabricated,0.555
fabrication,0.705
fabulous,0.797
facade,0.518
facilitate,0.509
facility,0.654
facing,0.55
facsimile,0.543
fact,0.618
factor,0.678
factory,0.683
facts,0.693
factual,0.545
faculties,0.76
faculty,0.732
fad,0.57
fair,0.643
fairly,0.75
fairness,0.552
fairway,0.5
faith,0.763
faithful,0.627
faithfulness,0.602
falcon,0.678
fallback,0.508
fame,0.852
famed,0.819
familiar,0.615
familiarity,0.616
familiarize,0.654
family,0.643
familytime,0.679
famous,0.882
famously,0.787
fanatic,0.629
fanatical,0.714
fanaticism,0.566
fancy,0.534
fantastic,0.831
fare,0.645
farewell,0.591
farming,0.568
farmland,0.509
fascinate,0.802
fascinated,0.788
fascinating,0.784
fascination,0.835
fascism,0.695
fascist,0.527
fashion,0.589
fashionable,0.605
fastball,0.575
fasten,0.529
fastening,0.554
fatal,0.509
fatalism,0.631
fatality,0.595
fate,0.712
fated,0.692
father,0.824
fatherhood,0.682
fatherland,0.778
fatherly,0.712
fathom,0.523
faultless,0.741
favor,0.519
favorable,0.788
favorite,0.691
favoriteholiday,0.582
favoritism,0.658
feared,0.509
fearless,0.76
fearsome,0.586
feasibility,0.741
feasible,0.611
feast,0.68
feat,0.849
feature,0.679
features,0.509
fecundity,0.683
federal,0.859
federation,0.763
fee,0.556
feed,0.739
feedback,0.645
feeder,0.713
feel,0.596
feelgood,0.621
feeling,0.531
feelingdown,0.567
feelinggood,0.655
feisty,0.789
felicity,0.793
feline,0.509
feller,0.617
fellow,0.57
fellowship,0.778
felt,0.566
female,0.625
feminism,0.636
feminist,0.585
femoral,0.566
fencing,0.539
fend,0.537
ferocious,0.776
ferocity,0.746
ferryboat,0.553
fertile,0.704
fertility,0.726
fertilize,0.542
fertilizer,0.565
fervent,0.773
fervor,0.651
festival,0.714
festive,0.764
fetish,0.5
feudal,0.61
feudalism,0.607
fiancee,0.556
fibrosis,0.546
fiddler,0.5
fidelity,0.709
fiduciary,0.509
field hockey,0.518
fiend,0.608
fiendish,0.591
fierce,0.759
fiery,0.721
fiesta,0.655
fight,0.809
fighter,0.898
fighting,0.783
fights,0.712
figment,0.533
figurative,0.634
figure,0.509
filamentous,0.516
filibuster,0.508
filigree,0.514
filing,0.7
fill,0.637
filler,0.529
filling,0.525
filly,0.519
film,0.566
filmmaker,0.635
final,0.508
finalist,0.736
finality,0.627
finalize,0.578
finalized,0.608
finance,0.843
financial,0.722
financier,0.778
find,0.58
finder,0.63
finding,0.664
fine,0.647
finery,0.636
fingerprint,0.57
finish,0.545
finished,0.57
fire,0.635
firearm,0.864
firearms,0.821
fireball,0.664
firefight,0.664
firefighter,0.773
firehouse,0.627
firelight,0.639
fireman,0.755
firepower,0.81
fireproof,0.723
firestorm,0.766
firewall,0.629
firework,0.593
fireworks,0.579
firing,0.803
firm,0.728
firmament,0.66
firmly,0.777
firmness,0.939
first,0.788
firstborn,0.695
fiscal,0.845
fisherman,0.546
fishery,0.519
fishing boat,0.627
fission,0.567
fistfight,0.543
fistful,0.5
fit,0.632
fitness,0.81
fits,0.58
fitted,0.673
fitting,0.638
fiver,0.517
fix,0.519
fixable,0.645
fixation,0.655
fixed,0.509
fixer,0.606
flabbergast,0.547
flag,0.536
flagging,0.509
flagship,0.703
flagstaff,0.5
flair,0.676
flak,0.6
flamboyant,0.705
flame,0.615
flamethrower,0.683
flaming,0.558
flammable,0.715
flanking,0.519
flare,0.508
flares,0.556
flaring,0.509
flash,0.657
flashy,0.827
flatness,0.527
flattered,0.708
flattering,0.5
flaunt,0.525
flawless,0.741
fleet,0.623
flick,0.515
flier,0.652
flight,0.587
flinch,0.555
fling,0.534
flint,0.536
flirt,0.538
flock,0.543
flood,0.608
flora,0.567
flourish,0.601
flowering,0.5
fluctuation,0.519
fluency,0.718
fluent,0.614
fluid,0.589
fluidity,0.576
fluorescence,0.5
fluorescent,0.5
flurries,0.517
flurry,0.559
flush,0.589
