term,valence
coy,0.347
coyote,0.459
crab,0.421
crabby,0.198
crack,0.302
cracked,0.224
cracking,0.327
crackle,0.327
crackpot,0.26
craig,0.448
cram,0.354
crammed,0.406
cramp,0.194
cramped,0.24
crane,0.396
cranial,0.354
cranium,0.439
crank,0.448
cranky,0.194
cranny,0.194
crap,0.083
crappy,0.039
craps,0.375
crash,0.194
crass,0.223
crate,0.427
crater,0.45
crawl,0.479
craze,0.255
crazed,0.153
craziness,0.238
crazy,0.156
creak,0.344
creaking,0.302
crease,0.44
creditor,0.479
creep,0.354
creeper,0.429
creeping,0.292
creepy,0.125
cremation,0.084
crest,0.458
crestfallen,0.235
cretin,0.265
cretins,0.094
crevice,0.361
cricket,0.423
cried,0.167
crime,0.071
criminal,0.021
criminality,0.122
crimp,0.26
cringe,0.245
cripple,0.094
crippled,0.035
crippling,0.156
crisis,0.208
criterion,0.396
critic,0.264
critical,0.312
criticise,0.073
criticism,0.115
criticize,0.143
criticized,0.24
critique,0.302
croak,0.337
croc,0.327
crock,0.385
crocodile,0.344
crook,0.171
crooked,0.146
cross,0.448
crossbow,0.344
crossed,0.431
crossfire,0.316
crouch,0.281
crouched,0.333
crouching,0.261
crow,0.224
crowbar,0.406
crowd,0.35
crowds,0.469
cruciate,0.429
crucifix,0.469
crucifixion,0.135
crucify,0.146
crud,0.312
crude,0.198
cruel,0.122
cruelly,0.146
cruelty,0.092
crumb,0.417
crumble,0.333
crumbling,0.167
crummy,0.125
crunch,0.292
crusader,0.439
crush,0.271
crushed,0.167
crusher,0.271
crushing,0.219
crutch,0.302
crux,0.469
cry,0.133
crybaby,0.375
crying,0.153
crypt,0.156
cryptic,0.296
cryptography,0.49
cubby,0.354
cube,0.469
cubic,0.458
cubicle,0.479
cuckold,0.21
cuckoo,0.42
cucumber,0.49
cuff,0.469
cull,0.365
culpability,0.112
culpable,0.14
culprit,0.062
cult,0.448
culvert,0.337
cumbersome,0.259
cunt,0.135
cupping,0.49
cur,0.44
curb,0.472
curfew,0.219
curl,0.385
curse,0.033
cursed,0.083
cursing,0.112
cursory,0.423
curt,0.245
curtail,0.306
curtailment,0.23
curvature,0.417
curve,0.48
curvilinear,0.48
cuss,0.354
cussed,0.156
custodial,0.418
custody,0.494
cut,0.49
cutaneous,0.365
cuticle,0.34
cutlass,0.173
cutoff,0.432
cutter,0.427
cutters,0.197
cutthroat,0.11
cutting,0.448
cutting board,0.337
cuttings,0.479
cyanide,0.229
cyclical,0.38
cyclone,0.416
cylinder,0.459
cylindrical,0.458
cynic,0.135
cynical,0.156
cynicism,0.104
cyst,0.173
cystic,0.314
cytomegalovirus,0.186
cytoplasm,0.378
czar,0.48
daemon,0.333
daft,0.255
dagger,0.224
dam,0.25
damage,0.059
damaged,0.104
damages,0.082
damn,0.073
damnation,0.135
damned,0.1
damp,0.36
dampened,0.271
damper,0.459
dandruff,0.398
danger,0.115
dangerous,0.02
dangerously,0.082
dangit,0.396
dangle,0.362
dank,0.39
daredevil,0.429
dark,0.198
darken,0.25
darkened,0.135
darkly,0.219
darkness,0.102
darkroom,0.188
darkside,0.102
darn,0.115
dart,0.417
dashed,0.276
dastardly,0.208
dawdle,0.479
daze,0.245
dazed,0.3
deactivate,0.235
dead,0.052
deadbeat,0.229
deadline,0.214
deadlines,0.406
deadlock,0.17
deadly,0.143
deaf,0.186
deafening,0.281
deafness,0.125
dearth,0.156
death,0.031
deathbed,0.051
deathly,0.073
debacle,0.156
debased,0.219
debatable,0.181
debate,0.408
debauchery,0.354
debenture,0.417
debilitating,0.125
debit,0.333
debrief,0.247
debriefing,0.427
debris,0.135
debt,0.204
debtor,0.219
decadence,0.237
decadent,0.29
decaf,0.48
decanter,0.438
decay,0.143
decayed,0.017
decaying,0.073
deceased,0.021
decedent,0.423
deceit,0.02
deceitful,0.071
deceive,0.094
deceived,0.059
deceiving,0.099
deception,0.09
deceptive,0.027
deciduous,0.385
decipher,0.417
deck,0.42
declination,0.25
decline,0.173
declining,0.328
decompose,0.194
decomposed,0.073
decomposition,0.133
decompress,0.438
decompression,0.208
decoy,0.149
decrease,0.125
decreased,0.224
decreasing,0.32
decrement,0.255
decrepit,0.156
decry,0.4
decryption,0.459
deduce,0.49
deduct,0.355
deductible,0.375
deduction,0.438
deep,0.49
defamation,0.11
defamatory,0.143
default,0.459
defeat,0.092
defeated,0.104
defeatist,0.163
defect,0.135
defection,0.146
defective,0.122
defector,0.163
defendant,0.25
defenseless,0.143
defer,0.245
deferring,0.343
defiance,0.333
defiant,0.25
defibrillator,0.398
deficiency,0.073
deficient,0.24
deficit,0.358
deflate,0.148
deflation,0.287
deflect,0.133
deflection,0.188
defloration,0.188
deform,0.112
deformed,0.198
deformity,0.16
defraud,0.175
defray,0.375
defrost,0.427
defunct,0.112
defuse,0.167
defy,0.353
degeneracy,0.143
degenerate,0.069
degeneration,0.245
degradation,0.16
degrade,0.083
degraded,0.167
degrading,0.031
dehydrated,0.31
dehydration,0.188
dejected,0.104
delay,0.204
delayed,0.188
delete,0.292
deleterious,0.297
deletion,0.062
deliberative,0.392
delineate,0.448
delinquency,0.135
delinquent,0.051
delirious,0.219
delirium,0.233
dell,0.458
delude,0.143
deluge,0.245
delusion,0.344
delusional,0.219
delve,0.469
demand,0.292
demanding,0.396
demeaned,0.271
demeaning,0.104
demented,0.088
dementia,0.092
demise,0.104
demographic,0.459
demolish,0.125
demolished,0.271
demolition,0.133
demon,0.037
demonic,0.146
demoralized,0.082
demos,0.418
deniability,0.23
denial,0.194
denied,0.188
denomination,0.49
denominational,0.458
denominator,0.45
denote,0.448
denounce,0.083
dense,0.354
dent,0.306
dentist,0.479
dentistry,0.429
dentists,0.364
denunciation,0.146
deny,0.316
denying,0.08
deodorant,0.48
depart,0.398
departed,0.245
depend,0.388
dependant,0.357
dependence,0.25
dependency,0.429
dependent,0.354
depicting,0.49
depletion,0.153
deplorable,0.135
deplore,0.135
deport,0.167
deportation,0.104
depose,0.286
deposition,0.394
depraved,0.031
depravity,0.115
depreciate,0.27
depreciated,0.135
depreciation,0.143
depress,0.219
depressed,0.024
depressing,0.146
depression,0.031
depressive,0.143
depresson,0.135
deprivation,0.194
deprive,0.271
deprived,0.354
deputy,0.429
derail,0.108
deranged,0.376
derelict,0.208
derision,0.265
derive,0.396
dermal,0.385
dermatology,0.422
derogation,0.208
derogatory,0.122
descend,0.385
descendent,0.391
descending,0.219
descent,0.3
desecrate,0.255
desecration,0.125
desert,0.469
deserted,0.156
deserter,0.122
desertion,0.122
desist,0.22
desolate,0.104
desolation,0.073
despair,0.115
despairing,0.073
despatch,0.448
desperado,0.26
desperate,0.083
desperation,0.125
despicable,0.146
despise,0.167
despondent,0.133
despotic,0.141
despotism,0.255
destitute,0.13
destroy,0.046
destroyed,0.031
destroyer,0.083
destroying,0.041
destruct,0.071
destruction,0.102
destructive,0.177
detach,0.357
detached,0.28
detachment,0.243
detain,0.351
detainee,0.306
detectable,0.479
detector,0.459
detention,0.265
deter,0.344
detergent,0.458
deteriorate,0.083
deteriorated,0.053
deteriorating,0.104
deterioration,0.13
deterrent,0.292
detest,0.083
detestation,0.177
detonate,0.375
detonation,0.167
detonator,0.207
detour,0.398
detract,0.344
detriment,0.281
detrimental,0.203
detritus,0.276
deuce,0.479
deutschmark,0.439
devalued,0.321
devastate,0.021
devastated,0.12
devastating,0.104
devastation,0.09
deviant,0.094
deviate,0.173
deviating,0.354
deviation,0.105
devil,0.161
deviled,0.347
devilish,0.073
devious,0.25
devoid,0.219
devolution,0.345
devolve,0.367
devour,0.344
dexter,0.458
dextrose,0.333
diabetes,0.051
diabetic,0.125
diabolical,0.102
diagnose,0.378
diagnostic,0.417
dialysis,0.194
diameter,0.427
diaper,0.409
diaphragm,0.459
diarrhea,0.092
diarrhoea,0.038
diatribe,0.354
dib,0.479
dice,0.458
dicey,0.29
dichotomous,0.365
dichotomy,0.323
dick,0.208
dickhead,0.115
dicks,0.31
dictate,0.48
dictation,0.255
dictator,0.073
dictatorial,0.204
dictatorship,0.082
diction,0.439
dictum,0.385
diddle,0.429
die,0.031
died,0.021
diesel,0.49
diet,0.429
differ,0.23
difference,0.474
differences,0.365
differentiation,0.367
differently,0.48
differing,0.418
difficult,0.235
difficulties,0.082
difficulty,0.079
diffuse,0.43
diffusion,0.356
dig,0.367
digit,0.447
digress,0.271
digs,0.448
dike,0.36
dilapidated,0.229
dilatation,0.385
dilation,0.347
dilemma,0.153
dill,0.427
diluent,0.417
dilute,0.275
diluted,0.469
dilution,0.445
dim,0.398
diminish,0.24
diminished,0.156
diminution,0.316
diminutive,0.323
dimwit,0.255
din,0.44
dingy,0.156
dinky,0.357
dinosaur,0.448
dint,0.378
dioxide,0.354
dippy,0.43
dipstick,0.365
dire,0.214
directory,0.439
dirt,0.112
dirty,0.153
disability,0.073
disable,0.115
disabled,0.308
disadvantage,0.15
disaffected,0.176
disagree,0.133
disagreeable,0.042
disagreeing,0.255
disagreement,0.104
disallow,0.156
disallowed,0.135
disapointment,0.104
disappear,0.143
disappearance,0.214
disappearing,0.167
disappoint,0.15
disappointed,0.071
disappointing,0.073
disappointment,0.115
disapproval,0.085
disapprove,0.16
disapproved,0.104
disapproving,0.245
disarm,0.292
disarray,0.198
disaster,0.082
disastrous,0.071
disband,0.302
disbelief,0.188
disbelieve,0.188
disburse,0.418
disbursement,0.24
discard,0.24
discarded,0.229
discards,0.24
discern,0.459
discernible,0.427
discernment,0.408
discharge,0.427
disclaim,0.235
disclaimer,0.367
disclose,0.49
disclosed,0.271
discoloration,0.224
discolored,0.204
discomfort,0.153
disconcerted,0.1
disconcerting,0.106
disconnect,0.438
disconnected,0.292
disconnection,0.167
disconnects,0.256
discontent,0.24
discontinuance,0.123
discontinue,0.354
discontinuity,0.303
discontinuous,0.233
discord,0.115
discourage,0.184
discouraged,0.22
discouragement,0.112
discouraging,0.167
discourse,0.41
discredit,0.075
discredited,0.112
discrepancy,0.26
discriminate,0.125
discriminating,0.16
discrimination,0.051
discuss,0.396
discussion,0.333
disdain,0.153
disdainful,0.097
disease,0.041
diseased,0.123
disembodied,0.167
disengage,0.406
disengagement,0.327
disfigured,0.153
disgrace,0.061
disgraced,0.071
disgraceful,0.082
disgruntled,0.104
disgust,0.052
disgusted,0.051
disgusting,0.031
disheartened,0.153
disheartening,0.01
dishonest,0.191
dishonesty,0.094
dishonor,0.104
dishonorable,0.112
dishwasher,0.48
disillusionment,0.051
disinclination,0.125
disincline,0.458
disinclined,0.385
disinfect,0.448
disinformation,0.23
disingenuous,0.194
disintegrate,0.143
disintegration,0.094
disinterested,0.398
disjoint,0.351
disjointed,0.323
disjunctive,0.286
dislike,0.156
disliked,0.062
disliking,0.163
dislocated,0.125
dislocation,0.229
dislodge,0.214
disloyal,0.062
disloyalty,0.187
dismal,0.194
dismantle,0.347
dismay,0.314
dismayed,0.165
dismemberment,0.104
dismiss,0.167
dismissal,0.153
dismissive,0.188
dismount,0.361
disobedience,0.051
disobedient,0.276
disobey,0.143
disorder,0.115
disordered,0.21
disorderly,0.188
disorganized,0.052
disorientation,0.163
disoriented,0.227
disown,0.153
disparage,0.092
disparaging,0.102
disparate,0.438
disparity,0.208
dispassionate,0.199
dispatch,0.317
dispatcher,0.365
dispel,0.388
dispensary,0.406
dispensation,0.388
dispersal,0.388
disperse,0.375
dispersed,0.344
dispersion,0.27
dispirited,0.204
displace,0.424
displaced,0.281
displacement,0.276
displease,0.021
displeased,0.135
displeasure,0.115
disposable,0.271
disposal,0.135
dispossessed,0.354
disprove,0.375
dispute,0.219
disqualification,0.066
disqualified,0.129
disqualify,0.208
disquieted,0.229
disregard,0.177
disregarded,0.26
disrelish,0.375
disreputable,0.104
disrepute,0.208
disrespect,0.062
disrespectful,0.031
disrupt,0.265
disrupting,0.186
disruption,0.235
disruptive,0.255
dissatisfaction,0.115
dissatisfied,0.042
dissect,0.367
dissection,0.276
dissemination,0.476
dissension,0.25
dissent,0.3
dissenting,0.208
dissertation,0.312
disservice,0.25
dissident,0.35
dissimilar,0.276
dissipate,0.385
dissipated,0.281
dissociation,0.135
dissociative,0.281
dissolution,0.204
dissolve,0.271
dissonance,0.173
dissuade,0.482
distal,0.41
distance,0.233
distant,0.229
distaste,0.184
distasteful,0.264
distillation,0.396
distilled,0.427
distort,0.1
distorted,0.25
distortion,0.299
distract,0.241
distracted,0.194
distracting,0.445
distraction,0.402
distraught,0.115
distress,0.073
distressed,0.143
distressing,0.075
district,0.438
distrust,0.06
disturb,0.175
disturbance,0.146
disturbed,0.125
disturbing,0.146
disuse,0.229
disused,0.25
ditch,0.357
ditto,0.449
ditty,0.47
diverge,0.375
divergence,0.429
divergent,0.449
diverging,0.417
divert,0.344
diverting,0.396
divest,0.365
divested,0.333
divestment,0.302
divide,0.333
divided,0.271
divisible,0.323
division,0.37
divisor,0.344
divorce,0.042
divorcee,0.153
divvy,0.351
dizziness,0.229
dizzy,0.199
doc,0.458
dock,0.49
docked,0.281
docking,0.354
dodge,0.333
dodger,0.427
dodging,0.396
dodgy,0.281
dodo,0.438
dogface,0.219
dogged,0.255
doghouse,0.438
dogmatic,0.448
doldrums,0.229
dole,0.448
dolor,0.167
dominant,0.406
dominate,0.439
dominating,0.427
dominatrix,0.39
donkey,0.406
dontlikeyou,0.055
dontmess,0.396
dontmesswithme,0.312
dontpanic,0.469
dontunderstand,0.219
doom,0.073
doomed,0.041
doomsday,0.125
doorknob,0.406
doormat,0.458
doornail,0.459
dope,0.295
dopey,0.32
dork,0.272
dorky,0.302
dormant,0.385
dorsal,0.449
dosage,0.344
dose,0.458
dossier,0.357
dot,0.434
dotted,0.48
dotty,0.375
doubled,0.427
doublet,0.42
doubling,0.459
doubt,0.395
doubtful,0.25
doubting,0.224
doubts,0.306
douche,0.49
douchebags,0.327
doughboy,0.365
dour,0.36
douse,0.365
down,0.208
downcast,0.071
downer,0.12
downfall,0.2
downhearted,0.119
downhill,0.292
downpour,0.328
downside,0.19
downtime,0.24
downward,0.188
drab,0.327
draft,0.438
drafty,0.458
drag,0.388
drain,0.277
drainage,0.219
drained,0.31
draining,0.337
drainpipe,0.417
drake,0.467
drama,0.43
dramaqueen,0.337
dramatic,0.367
drape,0.417
drapery,0.479
drastic,0.194
drat,0.302
draught,0.465
drawback,0.302
drawer,0.429
dread,0.153
dreaded,0.122
dreadful,0.092
dreadfully,0.246
dreading,0.125
dreary,0.26
dredge,0.427
drenched,0.302
dribble,0.417
dried,0.427
drier,0.306
drift,0.316
drifted,0.312
drifter,0.449
driftwood,0.321
drill,0.25
drinker,0.365
drip,0.392
dripping,0.302
drivel,0.398
droll,0.459
drone,0.429
drones,0.398
drool,0.385
drooping,0.245
droopy,0.438
drop,0.479
dropout,0.253
dropper,0.333
drought,0.133
drown,0.071
drowsiness,0.26
drowsy,0.375
drudgery,0.094
drug,0.214
drug dealing,0.042
drugged,0.102
druggist,0.24
drugs,0.167
drugstore,0.49
drunk,0.194
drunk driving,0.073
drunkard,0.24
drunken,0.155
drunkenness,0.214
dry,0.363
dryer,0.479
dryness,0.292
dualism,0.49
duality,0.438
dubious,0.414
ducking,0.344
duct,0.449
dud,0.167
duds,0.347
duel,0.271
dues,0.367
dugout,0.49
duh,0.357
dull,0.194
dullard,0.45
dumb,0.188
dumbasses,0.316
dumbbell,0.302
dumbbitch,0.281
dumfound,0.271
dumfounder,0.406
dummy,0.44
dump,0.345
dumps,0.302
dumpster,0.229
dun,0.458
dunce,0.188
dune,0.459
dung,0.104
dungeon,0.276
dunk,0.406
dupe,0.184
duplication,0.48
duplicity,0.406
duress,0.302
dusky,0.229
dust,0.344
duster,0.408
dusty,0.406
dwarf,0.37
dwarfed,0.365
dweeb,0.354
dye,0.479
dying,0.04
dyke,0.438
dynamite,0.344
dysentery,0.26
dysfunction,0.156
dysfunctional,0.125
dyspepsia,0.212
eagerness,0.406
ear,0.469
earthquake,0.073
earthy,0.375
easement,0.479
eater,0.459
eatingdisorders,0.365
eavesdrop,0.375
eavesdropping,0.49
ebb,0.354
ebony,0.49
eccentricity,0.408
echelon,0.49
edema,0.25
edge,0.439
edging,0.479
edgy,0.281
edict,0.316
eeeek,0.367
eeek,0.333
eek,0.292
eel,0.292
eerie,0.265
effects,0.47
effeminate,0.337
effusion,0.344
effyou,0.354
egghead,0.316
eggshell,0.408
ego,0.328
egomaniac,0.133
egotistical,0.156
egregious,0.15
egress,0.49
eject,0.434
ejection,0.188
elbow,0.448
eld,0.471
elder,0.448
elector,0.479
electoral,0.49
electric,0.458
electrician,0.449
electrocute,0.271
electrocution,0.177
eleven,0.449
elf,0.46
elicit,0.406
eliminate,0.265
elimination,0.052
elk,0.439
ell,0.469
elliptical,0.338
elope,0.396
elude,0.438
elusive,0.229
emaciated,0.103
embargo,0.229
embarrass,0.082
embarrassed,0.184
embarrassing,0.226
embarrassment,0.143
embattled,0.235
embed,0.417
embers,0.49
embezzlement,0.143
embezzler,0.146
embolism,0.104
embroiled,0.337
emergence,0.276
emergency,0.2
emery,0.469
emetophobia,0.243
emigrate,0.356
emo,0.354
emphysema,0.156
emptiness,0.177
empty,0.188
emu,0.42
emulate,0.438
enchantress,0.398
encircle,0.46
enclosure,0.417
encode,0.49
encroach,0.302
encroachment,0.255
encumbrance,0.3
end,0.198
endanger,0.115
endangered,0.083
endangerment,0.167
ended,0.302
endemic,0.406
endgame,0.449
ending,0.344
endless,0.347
endocarditis,0.235
endpoint,0.311
endure,0.32
enema,0.281
enemy,0.135
enforcer,0.398
engrave,0.486
engulf,0.398
enigmatic,0.469
enmity,0.094
ennui,0.406
enraged,0.083
enslave,0.073
enslaved,0.104
enslavement,0.086
entail,0.484
entangled,0.319
entanglement,0.302
entomology,0.438
entourage,0.491
entrails,0.365
entrapment,0.177
entreat,0.304
envious,0.11
envy,0.24
epidemic,0.092
epidermis,0.418
epidural,0.347
epilepsy,0.061
epileptic,0.146
epitaph,0.276
equation,0.479
equidistant,0.375
equivocal,0.327
eradicate,0.26
eradication,0.208
erase,0.24
eraser,0.458
erasure,0.281
ere,0.479
ergo,0.385
erode,0.208
erosion,0.312
err,0.146
errand,0.385
errant,0.205
erratic,0.271
erratum,0.327
erroneous,0.057
error,0.094
erst,0.277
erupt,0.188
eruption,0.156
escalade,0.48
escape,0.367
escaped,0.365
escarpment,0.406
eschew,0.184
escrow,0.449
esophagus,0.429
espionage,0.312
estoppel,0.354
estranged,0.156
estuary,0.469
ethanol,0.333
ether,0.49
euchre,0.47
eugenics,0.448
euphemism,0.418
euthanasia,0.229
evacuate,0.354
evacuation,0.16
evade,0.304
evaporate,0.357
evasion,0.229
evasive,0.117
evening,0.458
eventuality,0.469
evict,0.042
eviction,0.185
evidentiary,0.448
evil,0.04
evoke,0.438
ewe,0.429
ex,0.25
exacerbate,0.323
exacerbation,0.344
exacting,0.448
exaggerate,0.193
exaggerated,0.224
exaggeration,0.312
exam,0.479
examination,0.378
examiner,0.406
exasperated,0.229
exasperation,0.214
excavator,0.427
excepting,0.408
exception,0.469
excerpt,0.437
excess,0.385
excessive,0.417
excessively,0.449
excise,0.448
excision,0.26
exclude,0.292
excluded,0.061
excluding,0.271
exclusion,0.24
excrement,0.041
excretion,0.285
excruciating,0.083
excuse,0.24
execute,0.327
execution,0.16
executioner,0.235
executor,0.365
exegesis,0.458
exhausted,0.123
exhaustion,0.366
exhaustive,0.388
exhort,0.378
exhumation,0.177
exhume,0.184
exigent,0.385
exile,0.184
exit,0.37
exodus,0.286
exorbitant,0.398
exorcism,0.163
exorcist,0.219
expatriate,0.265
expect,0.469
expel,0.281
expendable,0.479
expenditure,0.25
expense,0.317
expenses,0.24
expensive,0.323
experiment,0.479
experimental,0.417
expiration,0.265
expired,0.198
expiry,0.194
expletive,0.357
explode,0.277
exploit,0.312
exploitation,0.156
explosion,0.167
explosions,0.123
explosive,0.156
expose,0.344
exposed,0.471
expound,0.438
expropriation,0.188
expulsion,0.19
extension,0.49
exterminate,0.177
extermination,0.19
exterminator,0.344
external,0.479
extinct,0.112
extinction,0.104
extinguish,0.24
extort,0.052
extortion,0.112
extraction,0.418
extractor,0.302
extracurricular,0.457
extradition,0.229
extrajudicial,0.365
extramural,0.336
extraneous,0.276
extreme,0.318
extreme disgust,0.052
extremely negative,0.03
extremity,0.408
extrusion,0.229
exude,0.375
eyelash,0.48
eyepiece,0.418
fab,0.49
fabricated,0.418
faceless,0.23
facsimile,0.49
faction,0.469
fade,0.354
faded,0.302
faeces,0.184
fag,0.122
faggot,0.219
fail,0.177
failing,0.125
failure,0.167
fain,0.479
faint,0.063
fainting,0.333
faithless,0.102
fake,0.073
faker,0.245
fall,0.177
fallacious,0.271
fallacy,0.112
fallback,0.458
fallible,0.365
falling,0.202
fallopian,0.297
fallout,0.428
fallow,0.375
false,0.12
falsehood,0.031
falsely,0.083
falsification,0.173
falsified,0.042
falsify,0.115
falsity,0.12
falter,0.421
famine,0.163
famished,0.177
fanaticism,0.292
fandango,0.49
fang,0.175
fangs,0.286
faraway,0.365
farce,0.265
farcical,0.406
fare,0.49
farewell,0.13
fart,0.194
farther,0.418
fascia,0.48
fascism,0.104
fascist,0.2
fasten,0.458
fasting,0.388
fat,0.198
fatal,0.061
fatalism,0.208
fatality,0.062
fateful,0.29
fathead,0.296
fatigue,0.173
fatigued,0.146
fatso,0.286
fatten,0.375
fatty,0.286
faucet,0.427
fault,0.188
faulty,0.184
faun,0.49
faux,0.291
fax,0.406
faze,0.417
fear,0.073
feared,0.24
fearful,0.083
fearfully,0.112
fearing,0.125
fears,0.061
fearsome,0.115
feathered,0.438
febrile,0.429
fecal,0.255
feces,0.24
fedup,0.327
fee,0.354
feeble,0.157
feelingdown,0.49
feign,0.34
feigned,0.173
fell,0.255
feller,0.406
felon,0.111
felony,0.206
femoral,0.417
femur,0.408
fen,0.49
fenced,0.323
fender,0.369
ferment,0.375
fermentation,0.42
ferocious,0.167
ferocity,0.235
ferret,0.385
fertilizer,0.438
fess,0.395
fetal,0.388
fetch,0.479
fetish,0.307
fetus,0.479
feud,0.146
feudal,0.367
feudalism,0.229
fever,0.194
feverish,0.385
fiasco,0.167
fib,0.438
fiberglass,0.451
fibrosis,0.16
fibrous,0.48
fickle,0.406
fiction,0.438
fictional,0.43
fictitious,0.224
fidgety,0.229
fiduciary,0.375
fiend,0.146
fiendish,0.167
fierce,0.281
fiery,0.418
fifteen,0.49
fighting,0.292
fights,0.07
figurative,0.479
file,0.48
filibuster,0.271
filings,0.323
filly,0.479
filter,0.44
filth,0.194
filthy,0.115
filtration,0.407
fin,0.333
final,0.276
finale,0.406
finalized,0.245
finch,0.438
finder,0.36
finger,0.321
fingernail,0.418
finish,0.471
finite,0.384
fink,0.41
fire,0.38
firearm,0.086
firearms,0.22
fireball,0.302
firecracker,0.474
firefight,0.153
firepower,0.375
firestorm,0.18
firewall,0.485
firing,0.188
firstworldprobs,0.458
fishy,0.224
fissile,0.333
fission,0.386
fissure,0.333
fist,0.333
fistfight,0.208
fistula,0.312
fiver,0.458
fizz,0.459
flabbergast,0.48
flabbergasted,0.312
flabby,0.292
flaccid,0.156
flagrant,0.286
flak,0.39
flake,0.385
flaky,0.363
flame,0.448
flamethrower,0.16
flaming,0.406
flammable,0.216
flank,0.448
flanked,0.333
flanking,0.49
flannel,0.49
flap,0.275
flapping,0.458
flashback,0.265
flask,0.418
flat,0.408
flatbed,0.49
flatfoot,0.265
flatness,0.479
flatten,0.286
flattery,0.47
flatulence,0.21
flaunt,0.438
flaw,0.319
flawed,0.133
flea,0.286
fleabag,0.271
fled,0.224
flee,0.292
fleeting,0.439
flexion,0.449
flickering,0.49
flighty,0.219
flimsy,0.302
flinch,0.35
fling,0.439
flip,0.281
flip flop,0.417
floater,0.48
flog,0.408
flood,0.208
floor,0.43
floozy,0.41
flop,0.081
flu,0.23
fluctuate,0.285
fluctuating,0.292
fluctuation,0.347
flue,0.354
fluke,0.446
flunk,0.104
flunky,0.205
flurries,0.422
flurry,0.302
flush,0.408
flustered,0.316
fluted,0.438
flutter,0.479
flux,0.473
flyer,0.48
fob,0.327
focal,0.367
fodder,0.316
foe,0.071
foggy,0.354
foil,0.312
foiled,0.235
fold,0.385
folded,0.179
folder,0.49
follicle,0.406
follicular,0.401
folly,0.184
fool,0.16
fooled,0.051
fooling,0.167
foolish,0.316
foolishness,0.235
foolproof,0.479
foot,0.49
foot stool,0.469
footwork,0.448
fop,0.281
foray,0.418
forbid,0.115
forbidding,0.198
forced,0.18
forceps,0.354
forcibly,0.365
forearm,0.469
foreboding,0.439
foreclose,0.22
foreclosure,0.167
forego,0.396
foregoing,0.42
foregone,0.271
forehead,0.47
foreman,0.458
forensic,0.439
forensics,0.235
foreveralone,0.296
forewarned,0.48
forfeit,0.083
forfeited,0.156
forfeiture,0.184
forger,0.156
forgery,0.235
forget,0.312
forgetful,0.24
forgetfulness,0.271
forgotten,0.235
fork,0.406
forked,0.333
forking,0.327
forklift,0.48
forlorn,0.316
formaldehyde,0.296
formless,0.398
fornicate,0.396
fornication,0.365
forsake,0.102
forsaken,0.05
forsooth,0.49
forty,0.458
fossil,0.48
foul,0.224
fox,0.323
foxhole,0.312
fraction,0.417
fractional,0.306
fracture,0.135
fragile,0.302
fragility,0.316
fragment,0.211
fragmentary,0.438
frail,0.255
frailty,0.385
frame,0.469
framework,0.459
frankenstorm,0.357
frantic,0.21
frantically,0.375
fraud,0.111
fraudulent,0.15
fraught,0.266
fray,0.337
frayed,0.312
frazzled,0.344
freak,0.052
freaked,0.135
freakedout,0.323
freakingout,0.219
freakish,0.135
freakout,0.25
freaky,0.19
freeze,0.191
freezer,0.396
freezing,0.327
freight,0.411
freighter,0.406
frenetic,0.429
frenzied,0.365
fret,0.289
fretful,0.409
fricking,0.333
friction,0.271
fried,0.479
friendless,0.102
frigate,0.49
friggen,0.39
fright,0.177
frighten,0.255
frightened,0.153
frightening,0.122
frightful,0.125
frigid,0.219
fringed,0.458
frisk,0.49
frivolous,0.271
frog,0.439
frontal,0.459
frontier,0.438
frontispiece,0.438
frost,0.449
frostbite,0.203
frosty,0.427
frown,0.214
frowning,0.194
frozen,0.344
frugal,0.48
fruitless,0.26
frustrate,0.1
frustrated,0.08
frustrates,0.146
frustrating,0.042
frustration,0.06
fuck,0.198
fuckedoff,0.122
fucker,0.094
fucking,0.229
fuckoff,0.19
fucksake,0.24
fucktard,0.214
fuckyeah,0.49
fuel,0.445
fugitive,0.104
fulcrum,0.41
fumble,0.36
fume,0.3
fumigation,0.327
fumin,0.354
fuming,0.24
fundamentalist,0.49
funeral,0.073
fungus,0.388
funk,0.466
funnel,0.354
furious,0.062
furiously,0.062
furlong,0.418
furnace,0.429
furrow,0.408
furry,0.428
fury,0.062
fuse,0.373
fuselage,0.312
fuss,0.406
fussy,0.417
fustrated,0.163
futile,0.122
futility,0.125
futon,0.429
fuzzy,0.306
gaff,0.333
gag,0.323
gaga,0.479
gahhh,0.323
gale,0.271
gall,0.417
gallbladder,0.354
galled,0.27
gallows,0.167
galvanic,0.396
gambler,0.458
gambling,0.365
gamma,0.48
gamut,0.49
gang,0.217
gangland,0.402
gangrene,0.133
gangster,0.292
gangway,0.49
gaol,0.24
gap,0.396
gape,0.493
gaping,0.408
garbage,0.188
garbled,0.074
gargle,0.41
gargoyle,0.286
garish,0.306
garlic,0.46
garner,0.479
gas,0.396
gaseous,0.398
gash,0.429
gasification,0.344
gasoline,0.417
gasp,0.44
gasping,0.208
gassy,0.354
gastric,0.327
gator,0.418
gauche,0.254
gauge,0.438
gauging,0.48
gaunt,0.214
gauntlet,0.42
gauze,0.46
gawk,0.333
gay,0.388
gazebo,0.469
gazette,0.469
geek,0.479
geeky,0.479
geez,0.417
geezer,0.458
geld,0.406
gelding,0.398
genealogy,0.479
