term,dominance
companionless,0.2
comparable,0.458
comparison,0.492
compassionate,0.411
compelled,0.347
complain,0.36
complaint,0.281
complexion,0.38
complicate,0.404
complicated,0.455
complication,0.33
complimentary,0.435
compo,0.39
compost,0.441
compress,0.46
compressed,0.388
con,0.427
concave,0.349
conceal,0.306
concealed,0.352
concealment,0.39
concede,0.473
conceit,0.309
conceited,0.473
concern,0.463
concerned,0.35
conch,0.339
concierge,0.343
concoction,0.417
concours,0.495
concubine,0.476
concur,0.429
concussion,0.482
condemnation,0.449
condiment,0.433
condolence,0.404
condolences,0.288
conduit,0.413
cone,0.343
confess,0.431
confession,0.46
confetti,0.25
confined,0.444
confiscate,0.482
conflict,0.471
conform,0.375
conformance,0.254
confound,0.333
confounded,0.264
confuse,0.27
confused,0.179
confusing,0.222
confusion,0.277
conga,0.44
congenital,0.427
congestion,0.491
conic,0.379
conical,0.471
conjugate,0.467
conk,0.404
consolation,0.304
console,0.415
consoled,0.452
consonant,0.417
consternation,0.469
constipation,0.231
constrained,0.357
constraint,0.481
consult,0.441
contagious,0.4
contaminate,0.426
contaminated,0.368
contamination,0.375
contempt,0.396
contemptible,0.471
contemptuous,0.375
continence,0.469
continuum,0.491
contour,0.414
contracted,0.449
contradict,0.482
contradiction,0.377
contradictory,0.421
contraption,0.491
contrary,0.338
contrasted,0.491
contravene,0.472
contrite,0.473
contrition,0.463
contrived,0.458
conundrum,0.408
convalescent,0.269
conversing,0.442
convex,0.445
convexity,0.484
conveyance,0.455
convict,0.477
convoluted,0.433
cook,0.412
cookbook,0.398
cooker,0.407
cookery,0.345
cookie,0.25
cookies,0.316
cooking,0.434
cookout,0.482
coolant,0.456
cooler,0.46
cooling,0.392
coon,0.4
copacetic,0.453
copier,0.39
copy,0.263
copycat,0.443
copying,0.404
coral,0.425
cord,0.358
cordial,0.482
cordon,0.38
corduroy,0.357
cork,0.281
corkscrew,0.445
corn,0.292
cornball,0.325
cornbread,0.302
cornea,0.443
corned,0.425
corner,0.366
cornet,0.415
cornfield,0.349
cornflakes,0.355
cornice,0.295
cornstarch,0.337
corny,0.221
corollary,0.366
corporeal,0.461
corps,0.483
corpse,0.232
corpus,0.49
corral,0.422
correspondence,0.491
corrosion,0.348
corrupting,0.38
corsage,0.397
corse,0.382
corset,0.381
cortisone,0.456
cosmetic,0.308
cosmetics,0.472
cost,0.439
costume,0.374
cot,0.278
cote,0.324
cottage,0.361
cotton,0.24
couch,0.198
cough,0.241
count,0.492
countdown,0.49
counterfeit,0.451
countrymusic,0.438
countryside,0.327
coupe,0.482
coupon,0.421
courier,0.441
courtesy,0.431
courtside,0.434
courtyard,0.355
cousin,0.427
cousins,0.464
cove,0.37
cover,0.471
cow,0.3
coward,0.149
cowardice,0.167
cowardly,0.127
cowhide,0.333
cowl,0.232
coy,0.213
coyote,0.387
crab,0.33
crabby,0.37
crack,0.4
cracked,0.228
cracker,0.346
crackerjack,0.426
cracking,0.286
crackle,0.481
crackpot,0.245
cradle,0.333
crafts,0.391
craig,0.49
crammed,0.466
cramp,0.34
cramped,0.36
cranberry,0.363
cranberry juice,0.281
crank,0.417
cranky,0.396
cranny,0.25
crap,0.167
crappy,0.208
craps,0.273
crash,0.355
crass,0.466
crate,0.274
crawfish,0.342
crawl,0.467
crayon,0.185
crayons,0.405
craze,0.435
crazed,0.417
craziness,0.255
crazy,0.321
creak,0.411
creaking,0.415
cream,0.22
creamed,0.288
creamer,0.269
creamy,0.345
crease,0.3
creek,0.33
creep,0.361
creeper,0.366
creeping,0.282
creepy,0.373
cremation,0.42
crepe,0.349
crescent,0.407
crest,0.333
crestfallen,0.175
cretin,0.312
cretins,0.328
crevice,0.275
crib,0.407
cricket,0.37
cried,0.254
crimp,0.396
crimson,0.37
cringe,0.377
cripple,0.161
crippled,0.236
crippling,0.391
crisis,0.431
criticise,0.452
criticize,0.473
criticized,0.311
critter,0.482
croak,0.298
croc,0.451
crock,0.421
crockery,0.327
croft,0.421
croissant,0.43
crooked,0.305
croquet,0.407
crossing,0.451
crosswalk,0.38
crossword,0.455
crotch,0.447
crouch,0.312
crouched,0.279
crouching,0.345
croupier,0.404
crow,0.363
crowbar,0.386
crud,0.444
crude,0.357
cruel,0.391
cruelly,0.471
crumb,0.216
crumble,0.423
crumbling,0.308
crummy,0.224
crunch,0.406
crushed,0.3
crushing,0.411
crust,0.456
crusty,0.473
crutch,0.302
cry,0.255
crybaby,0.311
crying,0.208
crypt,0.386
cryptic,0.474
cub,0.284
cubby,0.36
cube,0.274
cubic,0.407
cubicle,0.417
cuckold,0.23
cuckoo,0.284
cucumber,0.237
cuddle,0.475
cuddling,0.433
cue,0.484
cuff,0.387
cuisine,0.39
cull,0.464
culpability,0.368
culpable,0.319
culprit,0.333
cultivation,0.462
culvert,0.343
cumbersome,0.292
cumulus,0.432
cunt,0.377
cup,0.231
cupboard,0.304
cupcake,0.344
cupping,0.402
cur,0.46
curb,0.402
curd,0.278
curiosity,0.463
curious,0.483
curl,0.351
curling,0.4
curry,0.302
curse,0.375
cursed,0.393
cursing,0.446
cursory,0.431
curt,0.452
curtail,0.497
curtailment,0.431
curtain,0.304
curtains,0.342
curvature,0.447
curve,0.307
curved,0.337
curvilinear,0.411
cushion,0.292
cushy,0.395
cuss,0.443
cussed,0.454
custard,0.293
cut,0.393
cutaneous,0.328
cuticle,0.377
cutie,0.464
cutlery,0.345
cutters,0.491
cutting board,0.342
cuttings,0.433
cwt,0.384
cylinder,0.447
cylindrical,0.414
cymbal,0.362
cynic,0.473
cynical,0.474
cynicism,0.454
cyst,0.312
cystic,0.4
cytomegalovirus,0.443
cytoplasm,0.474
dab,0.34
dabble,0.491
dado,0.364
daft,0.157
daily,0.473
dainty,0.424
daiquiri,0.4
dairy,0.462
daisy,0.333
dak,0.424
dale,0.365
dam,0.394
damage,0.403
damaged,0.182
damages,0.31
damn,0.431
damnation,0.416
damned,0.465
damp,0.21
dampened,0.336
damper,0.473
damsel,0.4
dancing,0.444
dandruff,0.293
dangit,0.358
dangle,0.375
dank,0.383
daresay,0.49
dark,0.426
darken,0.382
darkened,0.452
darkly,0.443
darkness,0.418
darkroom,0.423
darkside,0.365
darn,0.418
dash,0.324
dashed,0.338
dastardly,0.27
data,0.426
date,0.4
daughter,0.455
dawdle,0.357
dawned,0.473
day,0.389
daybreak,0.474
daycare,0.36
daydream,0.456
daydreaming,0.479
daymade,0.417
dayoff,0.377
daytime,0.454
daze,0.329
dazed,0.277
deactivate,0.392
dead,0.194
deadbeat,0.368
deadline,0.46
deadlines,0.411
deadlock,0.323
deaf,0.161
deafening,0.482
deafness,0.219
dealings,0.48
dearth,0.255
death,0.472
deathbed,0.311
debacle,0.266
debased,0.17
debatable,0.474
debenture,0.466
debilitating,0.308
debit,0.474
debriefing,0.456
debris,0.327
debt,0.336
debtor,0.16
debutante,0.454
decadence,0.291
decadent,0.324
decaf,0.353
decay,0.17
decayed,0.169
decaying,0.214
deceased,0.188
decedent,0.415
deceit,0.343
deceitful,0.371
deceive,0.414
deceived,0.302
deceiving,0.426
december,0.464
deception,0.37
deceptive,0.294
deciduous,0.282
decimal,0.305
decimeter,0.377
deck,0.394
declination,0.311
decline,0.24
declining,0.264
deco,0.356
decompose,0.241
decomposed,0.231
decomposition,0.263
decompression,0.311
decorate,0.404
decorating,0.462
decorative,0.381
decorator,0.455
decorum,0.462
decoy,0.33
decrease,0.267
decreased,0.17
decreasing,0.224
decrement,0.373
decrepit,0.225
deduce,0.466
deduct,0.412
deductible,0.455
deejay,0.473
deer,0.292
defamation,0.481
defamatory,0.402
defeat,0.224
defeated,0.145
defeatist,0.315
defect,0.185
defection,0.33
defective,0.274
defector,0.286
defendant,0.491
defenseless,0.105
defer,0.317
deference,0.447
deferral,0.327
deferring,0.413
defibrillator,0.431
deficiency,0.179
deficient,0.132
deficit,0.269
deflate,0.237
deflation,0.407
deflect,0.482
deflection,0.382
defloration,0.434
deform,0.284
deformed,0.308
deformity,0.241
defraud,0.314
defrost,0.389
defunct,0.272
defuse,0.43
degeneracy,0.298
degenerate,0.264
degeneration,0.371
degradation,0.315
degrade,0.184
degraded,0.205
degrading,0.232
dehydrated,0.212
dehydration,0.259
dejected,0.347
delay,0.162
delayed,0.216
delete,0.409
deleterious,0.44
deletion,0.462
deli,0.447
delicacy,0.336
delicate,0.366
delicatessen,0.4
delineate,0.445
delineation,0.314
delirium,0.484
dell,0.453
delude,0.353
delusion,0.4
delusional,0.327
demeaned,0.212
demeaning,0.308
demented,0.309
dementia,0.337
demise,0.456
demo,0.423
demolished,0.353
demoralized,0.149
demos,0.368
demure,0.417
den,0.398
deniability,0.417
denial,0.318
denied,0.333
denim,0.327
denomination,0.429
denounce,0.426
dent,0.325
dental,0.463
deny,0.321
denying,0.272
deodorant,0.269
depart,0.444
departed,0.391
departmental,0.446
departure,0.426
depend,0.358
dependant,0.451
dependence,0.433
dependency,0.356
dependent,0.404
depletion,0.236
deplorable,0.23
deplore,0.373
deportation,0.45
depose,0.451
deposit,0.483
deposition,0.471
depository,0.481
depot,0.471
depraved,0.395
depravity,0.453
depreciate,0.445
depreciated,0.25
depreciation,0.386
depressed,0.136
depressing,0.216
depression,0.232
depressive,0.202
depresson,0.308
deprivation,0.413
deprive,0.34
derail,0.375
deranged,0.357
derelict,0.237
derision,0.292
derive,0.36
dermal,0.443
derogation,0.327
derogatory,0.404
descend,0.231
descending,0.25
descent,0.158
desert,0.389
deserted,0.214
deserter,0.366
desertion,0.289
desist,0.291
desk,0.422
desolate,0.228
desolation,0.273
despair,0.245
despairing,0.286
desperado,0.361
desperate,0.337
desperation,0.419
despicable,0.255
despise,0.296
despondent,0.221
dessert,0.404
destitute,0.222
destroyed,0.288
detach,0.45
detached,0.216
detachment,0.443
detailed,0.472
details,0.481
detain,0.43
detainee,0.321
detergent,0.426
deteriorate,0.202
deteriorated,0.237
deteriorating,0.112
deterioration,0.283
deterrent,0.385
detest,0.492
detestation,0.412
detour,0.309
detract,0.368
detriment,0.263
detrimental,0.387
detritus,0.363
deuce,0.425
devalued,0.212
devastated,0.264
devastating,0.419
devastation,0.472
deviant,0.398
deviate,0.269
deviation,0.336
deviled,0.358
devilish,0.49
devious,0.259
devoid,0.3
devolution,0.425
devout,0.464
dew,0.464
dexter,0.444
dextrose,0.323
diabetes,0.279
diabetic,0.237
diabolical,0.456
diagonal,0.41
diagram,0.445
dialysis,0.407
diameter,0.483
diaper,0.155
diarrhea,0.143
diarrhoea,0.25
diary,0.464
diatribe,0.409
dib,0.344
dibs,0.391
dice,0.264
dichotomy,0.483
dick,0.462
dickhead,0.284
dicks,0.358
diddle,0.393
die,0.259
died,0.327
diesel,0.448
diet,0.398
dietary,0.261
differ,0.396
difference,0.483
differences,0.342
different,0.473
differing,0.455
difficulties,0.357
difficulty,0.368
diffuse,0.321
digest,0.483
digestion,0.455
digestive,0.434
digit,0.333
digress,0.411
dike,0.49
dilapidated,0.286
dilatation,0.368
dildo,0.491
dilemma,0.43
dill,0.373
diluent,0.332
dilute,0.349
diluted,0.229
dilution,0.352
dim,0.273
dime,0.345
diminish,0.167
diminished,0.196
diminution,0.245
diminutive,0.109
dimwit,0.175
din,0.398
dine,0.478
dinghy,0.325
dingo,0.346
dingy,0.343
dining,0.459
dinky,0.358
dinner,0.379
dinnertime,0.341
dint,0.492
diorama,0.462
dioxide,0.456
dip,0.397
dipper,0.348
dippy,0.34
dipstick,0.316
dire,0.259
dirt,0.236
dirty,0.17
disability,0.173
disable,0.269
disabled,0.235
disadvantage,0.282
disaffected,0.291
disagree,0.345
disagreeable,0.178
disagreeing,0.35
disagreement,0.236
disallow,0.424
disallowed,0.328
disapointment,0.231
disappear,0.35
disappearance,0.367
disappearing,0.379
disappoint,0.288
disappointed,0.241
disappointing,0.2
disappointment,0.336
disapproval,0.367
disapprove,0.445
disapproved,0.114
disapproving,0.452
disarray,0.223
disaster,0.433
disastrous,0.439
disband,0.417
disbelief,0.373
disbelieve,0.352
disburse,0.353
disbursement,0.435
disc,0.426
discard,0.337
discarded,0.308
discards,0.391
discernible,0.481
disciple,0.462
disclaim,0.321
discoloration,0.414
discolored,0.269
discomfort,0.272
disconcerted,0.288
disconcerting,0.269
disconnect,0.191
disconnected,0.173
disconnection,0.277
disconnects,0.241
discontent,0.263
discontinuance,0.337
discontinue,0.349
discontinuity,0.25
discontinuous,0.316
discord,0.465
discount,0.302
discounted,0.43
discourage,0.267
discouraged,0.09
discouragement,0.206
discouraging,0.281
discredit,0.355
discredited,0.182
discrepancy,0.417
discrete,0.429
discretionary,0.446
discriminate,0.366
discriminating,0.462
discrimination,0.379
discus,0.343
disdain,0.441
disdainful,0.263
disease,0.333
diseased,0.134
disembodied,0.412
disengage,0.304
disengagement,0.395
disfigured,0.336
disgrace,0.331
disgraced,0.25
disgraceful,0.24
disgruntled,0.442
disguise,0.431
disguised,0.326
disgust,0.317
disgusted,0.274
disgusting,0.245
dish,0.264
disheartened,0.238
disheartening,0.224
dishonest,0.163
dishonesty,0.348
dishonor,0.185
dishonorable,0.28
dishwasher,0.324
disillusionment,0.19
disinclination,0.33
disincline,0.278
disinclined,0.364
disinfectant,0.46
disinfection,0.473
disinformation,0.26
disingenuous,0.204
disintegrate,0.364
disintegration,0.381
disinterested,0.392
disjoint,0.322
disjointed,0.365
disjunctive,0.4
disk,0.412
diskette,0.391
dislike,0.321
disliked,0.221
disliking,0.366
dislocated,0.2
dislocation,0.373
dislodge,0.356
disloyal,0.245
disloyalty,0.267
dismal,0.192
dismantle,0.462
dismay,0.459
dismayed,0.389
dismemberment,0.47
dismissal,0.271
dismissive,0.43
dismount,0.391
disobedience,0.369
disobedient,0.353
disobey,0.491
disorder,0.218
disordered,0.288
disorderly,0.385
disorganized,0.184
disorientation,0.212
disoriented,0.227
disown,0.368
disparage,0.336
disparaging,0.411
disparate,0.368
disparity,0.361
dispassionate,0.218
dispel,0.411
dispensation,0.49
dispenser,0.47
dispersal,0.421
disperse,0.434
dispersed,0.274
dispersion,0.35
dispirited,0.142
displace,0.454
displaced,0.291
displacement,0.481
display,0.4
displease,0.286
displeased,0.4
displeasure,0.25
disposable,0.25
disposal,0.396
dispossessed,0.331
disqualification,0.33
disqualified,0.232
disqualify,0.267
disquieted,0.29
disregard,0.308
disregarded,0.283
disrelish,0.304
disreputable,0.353
disrepute,0.292
disrespect,0.302
disrespectful,0.273
disrupt,0.349
disrupting,0.339
disruption,0.436
dissatisfaction,0.202
dissatisfied,0.291
dissection,0.462
dissension,0.414
dissent,0.407
dissenting,0.366
disservice,0.48
dissident,0.413
dissimilar,0.472
dissipate,0.355
dissipated,0.231
dissociation,0.471
dissociative,0.397
dissolution,0.349
dissolve,0.41
dissonance,0.336
dissuade,0.35
distal,0.438
distance,0.418
distant,0.269
distaste,0.37
distasteful,0.222
distillate,0.382
distort,0.366
distorted,0.28
distortion,0.38
distract,0.336
distracted,0.213
distracting,0.4
distraction,0.39
distraught,0.264
distress,0.396
distressed,0.324
distressing,0.375
distrust,0.276
disturb,0.481
disturbance,0.404
disturbed,0.305
disturbing,0.439
disuse,0.202
disused,0.186
ditch,0.322
ditto,0.411
ditty,0.334
diurnal,0.443
divan,0.262
diversify,0.464
diversionary,0.3
divert,0.407
divest,0.424
divested,0.311
divestment,0.382
divide,0.417
divided,0.391
divisible,0.411
division,0.472
divisor,0.455
divorce,0.385
divorcee,0.481
divulge,0.467
divvy,0.429
dizziness,0.254
dizzy,0.193
doc,0.392
docile,0.264
dock,0.481
docked,0.398
dodger,0.49
dodging,0.382
dodgy,0.254
dodo,0.353
doe,0.336
dog,0.407
dogface,0.264
doggy,0.404
doghouse,0.34
dogsick,0.377
doit,0.392
dojo,0.455
doldrums,0.266
dole,0.348
doll,0.33
dollhouse,0.363
dolor,0.375
dolphin,0.414
domesticated,0.294
domestication,0.435
domino,0.473
donkey,0.245
dontlikeyou,0.282
dontmess,0.44
dontmesswithme,0.44
dontpanic,0.425
dontunderstand,0.271
doodle,0.376
doom,0.442
doomed,0.301
door,0.421
doorbell,0.307
doorknob,0.462
doorman,0.491
doormat,0.267
doornail,0.423
doorstep,0.391
doorway,0.496
dopamine,0.426
dope,0.425
dopey,0.365
dork,0.361
dorky,0.39
dorm,0.327
dormant,0.245
dormitory,0.382
dorsal,0.445
dosage,0.49
dose,0.427
dot,0.391
doting,0.426
dotted,0.426
dotty,0.393
doubling,0.464
doubt,0.231
doubtful,0.241
doubting,0.189
doubts,0.305
douche,0.397
douchebags,0.366
dough,0.391
doughboy,0.396
doughnut,0.279
dour,0.325
douse,0.412
dove,0.437
down,0.264
downcast,0.222
downer,0.226
downfall,0.182
downfield,0.38
downhearted,0.255
downhill,0.279
downpour,0.481
downriver,0.279
downside,0.246
downtime,0.324
downward,0.255
downy,0.255
doze,0.405
dozen,0.425
drab,0.242
draft,0.351
drag,0.348
dragonfly,0.357
drain,0.222
drainage,0.307
drained,0.352
draining,0.304
drainpipe,0.277
drake,0.452
drama,0.481
dramaqueen,0.482
dramatic,0.443
drape,0.404
drapery,0.223
drat,0.409
draught,0.316
draw,0.481
drawback,0.148
drawbridge,0.438
drawer,0.292
drawers,0.236
drawing,0.333
dread,0.368
dreaded,0.46
dreadful,0.348
dreadfully,0.306
dreading,0.377
dream,0.328
dreamboat,0.458
dreamer,0.455
dreaming,0.336
dreary,0.324
dredge,0.444
drenched,0.388
dress,0.345
dresser,0.473
dressmaker,0.483
dribble,0.465
dried,0.385
drier,0.392
drift,0.375
drifted,0.31
drifter,0.391
driftwood,0.439
drink,0.474
drinker,0.441
drinking,0.317
drinks,0.412
drip,0.175
dripping,0.267
drivel,0.463
drizzle,0.319
droll,0.422
drool,0.204
drooping,0.353
droopy,0.297
drop,0.291
droplet,0.194
dropout,0.481
dropper,0.236
drought,0.267
drown,0.27
drowsiness,0.303
drowsy,0.24
drudgery,0.241
drug,0.453
drugged,0.321
druggist,0.417
drugs,0.368
druid,0.481
drum,0.339
drumming,0.426
drunk,0.25
drunk driving,0.306
drunkard,0.25
drunken,0.25
drunkenness,0.336
dry,0.311
dryer,0.277
dryness,0.263
dual,0.384
dub,0.387
dubious,0.198
duck,0.236
ducking,0.294
duckling,0.263
ducky,0.368
duct,0.43
ductile,0.433
dud,0.246
duds,0.339
due,0.467
dues,0.288
duffel,0.384
dugout,0.463
duh,0.364
dull,0.185
dullard,0.365
dumb,0.151
dumbasses,0.363
dumbbell,0.364
dumbbitch,0.393
dumfound,0.295
dumfounder,0.4
dummy,0.25
dump,0.37
dumpling,0.36
dumps,0.365
dumpster,0.101
dun,0.339
dunce,0.146
dune,0.414
dung,0.149
dungeon,0.44
dunk,0.475
duo,0.447
dupe,0.327
duplex,0.467
duplicate,0.338
dusky,0.324
dust,0.241
duster,0.296
dustpan,0.371
dusty,0.255
dwarf,0.288
dwarfed,0.293
dweeb,0.327
dwelling,0.481
dye,0.371
dying,0.422
dysentery,0.345
dysfunction,0.386
dysfunctional,0.307
dyspepsia,0.46
eager,0.306
eagerness,0.443
ear,0.231
earful,0.443
earlier,0.339
early,0.426
earpiece,0.452
earshot,0.408
earthenware,0.32
earthy,0.404
ease,0.491
easement,0.302
easily,0.453
east,0.317
eastbound,0.402
eastern,0.48
easy,0.373
eat,0.464
eavesdrop,0.368
eavesdropping,0.441
ebb,0.404
ebony,0.4
echelon,0.425
echinacea,0.454
echo,0.345
eddy,0.35
edema,0.318
edge,0.468
edging,0.37
edgy,0.306
edible,0.497
editing,0.493
eeeek,0.349
eeek,0.302
eek,0.343
eel,0.487
eerie,0.442
effects,0.379
effeminate,0.291
effigy,0.401
effortless,0.352
effusion,0.472
effyou,0.49
egg,0.293
egghead,0.284
eggnog,0.259
eggplant,0.323
eggshell,0.212
egotistical,0.363
egregious,0.442
egress,0.287
eight,0.315
eighteen,0.404
eighth,0.38
eighty,0.453
elapse,0.455
elapsed,0.493
elastic,0.385
elbow,0.254
eld,0.451
elder,0.462
elderly,0.283
elders,0.441
element,0.481
elements,0.462
eleven,0.43
eleventh,0.357
elf,0.315
eliminate,0.324
elimination,0.431
elk,0.34
ell,0.373
ellipse,0.479
ellipsis,0.314
ellipsoid,0.419
elliptical,0.49
elm,0.321
elude,0.464
elusive,0.466
emaciated,0.151
email,0.456
embankment,0.436
embargo,0.443
embarrass,0.364
embarrassed,0.246
embarrassing,0.225
embarrassment,0.226
embattled,0.421
embellishment,0.405
embezzlement,0.435
embezzler,0.491
embolism,0.302
embrace,0.452
embroidered,0.407
embroidery,0.28
embroiled,0.42
embryo,0.453
emery,0.472
emetophobia,0.403
emigration,0.432
emo,0.226
emphysema,0.336
employee,0.481
emptiness,0.184
emption,0.458
empty,0.081
emu,0.33
emulsion,0.453
enamel,0.306
enchantress,0.479
enchilada,0.371
enclose,0.473
enclosure,0.49
encryption,0.474
encumbrance,0.48
end,0.298
end table,0.482
endanger,0.404
endangered,0.43
endemic,0.483
ending,0.492
endless,0.472
endocarditis,0.412
endorse,0.472
endpapers,0.339
endpoint,0.448
enema,0.268
engraved,0.473
engraving,0.442
engrossed,0.304
enlist,0.483
enmity,0.382
ennui,0.316
enslave,0.481
enslaved,0.321
enslavement,0.302
ensue,0.332
entangled,0.357
entanglement,0.248
entourage,0.467
entrails,0.387
entrapment,0.441
entreat,0.462
enumerate,0.491
envelope,0.377
envious,0.341
environ,0.433
environs,0.345
envision,0.483
envy,0.427
enzyme,0.481
ephemeral,0.377
epidermis,0.426
epilepsy,0.25
epileptic,0.34
epilogue,0.466
episodic,0.462
epitaph,0.442
equal,0.407
equalization,0.423
equally,0.436
equator,0.462
equestrian,0.417
equivocal,0.257
era,0.449
erase,0.321
eraser,0.311
erasure,0.265
ere,0.377
ergo,0.385
erosion,0.465
err,0.236
errand,0.482
errant,0.375
erratic,0.217
erratum,0.436
erroneous,0.245
error,0.198
erst,0.357
escalade,0.442
escape,0.448
escarpment,0.47
eschew,0.37
esophagus,0.464
esprit,0.407
essayist,0.462
estoppel,0.482
estranged,0.377
estrogen,0.425
estuary,0.482
ether,0.412
etiquette,0.421
eucalyptus,0.418
euchre,0.442
euphemism,0.491
euthanasia,0.325
evacuate,0.314
evade,0.342
evanescence,0.458
evaporate,0.402
evaporation,0.388
evasion,0.418
evasive,0.425
eve,0.44
evening,0.318
evens,0.457
eventual,0.413
evermore,0.403
everyday,0.472
evict,0.377
eviction,0.455
ewe,0.277
ex,0.306
exacerbation,0.48
exasperated,0.377
exasperation,0.483
excel,0.466
exchange,0.491
excluded,0.134
excluding,0.324
exclusion,0.389
excrement,0.221
excretion,0.457
excruciating,0.345
excuse,0.318
exegesis,0.491
exhale,0.411
exhaust,0.337
exhausted,0.202
exhaustion,0.269
exhumation,0.473
exhume,0.452
exile,0.483
exit,0.399
expatriate,0.391
expect,0.377
expectant,0.474
expecting,0.302
expedient,0.454
expel,0.452
expendable,0.423
expense,0.377
expenses,0.396
experimental,0.396
expiration,0.463
expired,0.2
expiry,0.382
extinct,0.412
extinguish,0.482
extol,0.456
extraneous,0.478
extreme disgust,0.456
extremely negative,0.311
exude,0.411
eye,0.425
eyeball,0.42
eyebrow,0.222
eyeglass,0.286
eyeglasses,0.306
eyelash,0.278
eyelet,0.346
eyeliner,0.347
eyepiece,0.48
eyes,0.432
eyesight,0.343
fab,0.406
fable,0.389
fabric,0.345
face,0.453
faceless,0.173
facet,0.382
facial,0.433
facile,0.307
faction,0.448
fade,0.245
faded,0.194
faeces,0.175
fag,0.331
faggot,0.292
fail,0.154
failing,0.268
failure,0.139
fain,0.426
faint,0.167
fainting,0.214
fairy,0.413
faithless,0.304
fake,0.268
faker,0.48
falafel,0.351
fall,0.221
fallacious,0.39
fallacy,0.43
fallible,0.402
falling,0.306
fallopian,0.464
fallout,0.373
fallow,0.464
false,0.24
falsehood,0.384
falsely,0.265
falsification,0.49
falsified,0.306
falsify,0.409
falsity,0.186
falter,0.346
famine,0.31
famished,0.282
fan,0.357
fanciful,0.342
fandango,0.429
fanfare,0.437
fang,0.455
fangs,0.434
fanning,0.236
fantasia,0.436
fantasize,0.356
fantasy,0.474
faraway,0.285
farce,0.246
farcical,0.259
farm,0.297
farmer,0.464
farmhouse,0.444
faro,0.357
fart,0.264
farther,0.43
fascia,0.356
fastener,0.491
fasting,0.394
fat,0.237
fateful,0.402
fathead,0.463
fatigue,0.265
fatigued,0.245
fatso,0.336
fatten,0.363
fatty,0.325
faucet,0.356
fault,0.184
faulty,0.378
faun,0.376
fauna,0.404
faux,0.204
fawn,0.284
fax,0.304
faze,0.382
fear,0.293
fearful,0.278
fearfully,0.271
fearing,0.256
fears,0.306
feather,0.144
feathered,0.214
febrile,0.414
fecal,0.213
feces,0.307
fed,0.482
fedup,0.352
feeble,0.109
feet,0.292
feign,0.356
feigned,0.333
fell,0.25
felon,0.455
felony,0.472
feminine,0.394
femininity,0.451
femme,0.398
femur,0.413
fen,0.379
fence,0.398
fenced,0.429
fender,0.476
fennel,0.389
ferment,0.418
fermentation,0.473
fern,0.29
ferret,0.398
ferry,0.389
fess,0.37
fest,0.402
fetal,0.364
fetch,0.491
fete,0.465
fetus,0.395
feud,0.312
fever,0.364
feverish,0.436
fiasco,0.2
fiat,0.446
fib,0.361
fiber,0.39
fiberglass,0.443
fibrous,0.464
fickle,0.346
fiction,0.441
fictional,0.34
fictitious,0.293
fiddle,0.391
fidgety,0.351
field,0.336
fielder,0.415
fiesty,0.472
fifteen,0.443
fifty,0.439
fig,0.339
figurine,0.258
filament,0.377
file,0.463
filet,0.291
filings,0.34
fillet,0.378
filmy,0.425
filter,0.26
filth,0.319
filthy,0.321
filtration,0.255
fin,0.377
finale,0.468
finally,0.465
finch,0.358
finesse,0.412
finger,0.291
fingernail,0.153
fingerscrossed,0.356
finite,0.293
fink,0.439
fir,0.306
firecracker,0.434
firefly,0.363
fireplace,0.417
fireside,0.394
firewood,0.263
firstworldprobs,0.483
fish,0.25
fishing,0.405
fishy,0.471
fissile,0.38
fissure,0.431
fist,0.481
fistula,0.33
fittings,0.409
five,0.298
fixture,0.409
fixtures,0.37
fizz,0.349
fjord,0.463
flabbergasted,0.342
flabby,0.25
flaccid,0.151
flagpole,0.458
flagrant,0.455
flake,0.289
flaky,0.279
flamingo,0.482
flan,0.198
flange,0.39
flank,0.443
flanked,0.368
flannel,0.327
flap,0.344
flapping,0.404
flashback,0.485
flashing,0.438
flashlight,0.356
flask,0.454
flat,0.303
flatbed,0.38
flatfoot,0.33
flatten,0.442
flatter,0.302
flattery,0.404
flatulence,0.343
flavor,0.392
flaw,0.175
flawed,0.194
flea,0.218
fleabag,0.348
fled,0.322
flee,0.232
fleece,0.381
fleeting,0.387
flesh,0.475
fleshy,0.406
flex,0.33
flexibility,0.472
flexible,0.465
flexin,0.366
flexion,0.418
flicker,0.333
flickering,0.289
flighty,0.436
flimsy,0.189
flip,0.435
flip flop,0.321
flipper,0.415
flipping,0.345
flirtation,0.482
flirting,0.491
flirty,0.491
float,0.344
floater,0.37
flog,0.382
floor,0.25
flooring,0.346
floozy,0.43
flop,0.196
floppy,0.333
floral,0.264
florist,0.388
floss,0.278
flotation,0.333
flounder,0.345
flour,0.239
flow,0.464
flower,0.254
flowers,0.33
flowery,0.446
flows,0.434
flu,0.25
fluctuate,0.48
fluctuating,0.395
flue,0.451
fluff,0.172
fluffy,0.356
fluke,0.432
flunk,0.17
flunky,0.216
flustered,0.283
flute,0.363
fluted,0.389
flutter,0.33
flux,0.451
flyer,0.362
flywheel,0.442
foal,0.482
foam,0.204
foaming,0.198
foamy,0.291
fob,0.396
focal,0.482
fodder,0.43
foe,0.459
fog,0.26
foggy,0.302
foil,0.342
foiled,0.144
fold,0.33
folded,0.327
folder,0.375
foliage,0.237
folio,0.435
folk,0.432
folklore,0.449
follicle,0.436
